refined_capture_group_id,filepath,filename,class,split,date_token,image_number,prior_capture_sequence_id,group_size,supporting_categories,max_incident_phash,max_incident_mae,supporting_pair_ids,review_status
capture_review_0708f46097e0,dataset/train/Black spot/2025_12_20_IMG (207).JPG,2025_12_20_IMG (207).JPG,Black spot,train,2025-12-20,207,sequence_0032,2,C,4,0.0245302263647317,pair_0708f46097e0a4e00064,candidate capture sequence requiring human verification
capture_review_e8fdf157fb95,dataset/test/Black spot/2025_12_20_IMG (225).JPG,2025_12_20_IMG (225).JPG,Black spot,test,2025-12-20,225,sequence_0034,2,C,2,0.00483302725479,pair_e8fdf157fb9566891d29,candidate capture sequence requiring human verification
capture_review_e8fdf157fb95,dataset/train/Black spot/2025_12_20_IMG (226).JPG,2025_12_20_IMG (226).JPG,Black spot,train,2025-12-20,226,sequence_0034,2,C,2,0.00483302725479,pair_e8fdf157fb9566891d29,candidate capture sequence requiring human verification
capture_review_9eae7ee92267,dataset/test/Black spot/2025_12_20_IMG (234).JPG,2025_12_20_IMG (234).JPG,Black spot,test,2025-12-20,234,sequence_0035,2,C,4,0.0240595024079084,pair_9eae7ee922677fbd9567,candidate capture sequence requiring human verification
capture_review_9eae7ee92267,dataset/train/Black spot/2025_12_20_IMG (233).JPG,2025_12_20_IMG (233).JPG,Black spot,train,2025-12-20,233,sequence_0035,2,C,4,0.0240595024079084,pair_9eae7ee922677fbd9567,candidate capture sequence requiring human verification
capture_review_228c12bcc190,dataset/test/Black spot/2025_12_20_IMG (254).JPG,2025_12_20_IMG (254).JPG,Black spot,test,2025-12-20,254,sequence_0036,2,C,0,0.0078517543151974,pair_228c12bcc190d330752b,candidate capture sequence requiring human verification
capture_review_228c12bcc190,dataset/train/Black spot/2025_12_20_IMG (255).JPG,2025_12_20_IMG (255).JPG,Black spot,train,2025-12-20,255,sequence_0036,2,C,0,0.0078517543151974,pair_228c12bcc190d330752b,candidate capture sequence requiring human verification
capture_review_c71647e92646,dataset/test/Black spot/2025_12_20_IMG (258).JPG,2025_12_20_IMG (258).JPG,Black spot,test,2025-12-20,258,sequence_0037,2,C,2,0.0079944087192416,pair_c71647e926464533c2ac,candidate capture sequence requiring human verification
capture_review_c71647e92646,dataset/val/Black spot/2025_12_20_IMG (257).JPG,2025_12_20_IMG (257).JPG,Black spot,val,2025-12-20,257,sequence_0037,2,C,2,0.0079944087192416,pair_c71647e926464533c2ac,candidate capture sequence requiring human verification
capture_review_ed367fc6d9b8,dataset/test/Black spot/2025_12_20_IMG (273).JPG,2025_12_20_IMG (273).JPG,Black spot,test,2025-12-20,273,sequence_0038,3,C,4,0.0221146736294031,pair_6088b728ef7e37901503|pair_65cfa316b0e05c267924,candidate capture sequence requiring human verification
capture_review_ed367fc6d9b8,dataset/test/Black spot/2025_12_20_IMG (274).JPG,2025_12_20_IMG (274).JPG,Black spot,test,2025-12-20,274,sequence_0038,3,C,4,0.0130703002214431,pair_65cfa316b0e05c267924,candidate capture sequence requiring human verification
capture_review_ed367fc6d9b8,dataset/train/Black spot/2025_12_20_IMG (272).JPG,2025_12_20_IMG (272).JPG,Black spot,train,2025-12-20,272,sequence_0038,3,C,4,0.0221146736294031,pair_6088b728ef7e37901503,candidate capture sequence requiring human verification
capture_review_0f04a673d903,dataset/test/Black spot/2025_12_20_IMG (310).JPG,2025_12_20_IMG (310).JPG,Black spot,test,2025-12-20,310,sequence_0039,2,C,4,0.0290993303060531,pair_0f04a673d903ffa917ef,candidate capture sequence requiring human verification
capture_review_0f04a673d903,dataset/val/Black spot/2025_12_20_IMG (311).JPG,2025_12_20_IMG (311).JPG,Black spot,val,2025-12-20,311,sequence_0039,2,C,4,0.0290993303060531,pair_0f04a673d903ffa917ef,candidate capture sequence requiring human verification
capture_review_446df81a1896,dataset/test/Black spot/2025_12_20_IMG (49).JPG,2025_12_20_IMG (49).JPG,Black spot,test,2025-12-20,49,sequence_0040,2,C,2,0.0163596551865339,pair_446df81a1896ca53d2fc,candidate capture sequence requiring human verification
capture_review_446df81a1896,dataset/train/Black spot/2025_12_20_IMG (48).JPG,2025_12_20_IMG (48).JPG,Black spot,train,2025-12-20,48,sequence_0040,2,C,2,0.0163596551865339,pair_446df81a1896ca53d2fc,candidate capture sequence requiring human verification
capture_review_25a2694ff244,dataset/test/Black spot/2025_12_20_IMG (53).JPG,2025_12_20_IMG (53).JPG,Black spot,test,2025-12-20,53,sequence_0041,2,C,0,0.0056407651863992,pair_25a2694ff244012ff7bf,candidate capture sequence requiring human verification
capture_review_25a2694ff244,dataset/train/Black spot/2025_12_20_IMG (54).JPG,2025_12_20_IMG (54).JPG,Black spot,train,2025-12-20,54,sequence_0041,2,C,0,0.0056407651863992,pair_25a2694ff244012ff7bf,candidate capture sequence requiring human verification
capture_review_5309a41fcafb,dataset/test/Citrus canker/2025_12_21_IMG (342).JPG,2025_12_21_IMG (342).JPG,Citrus canker,test,2025-12-21,342,sequence_0042,4,C,2,0.0161956194788217,pair_55204cd593d2a50d3dab|pair_fda9158bbfa0a0780d61,candidate capture sequence requiring human verification
capture_review_5309a41fcafb,dataset/test/Citrus canker/2025_12_21_IMG (344).JPG,2025_12_21_IMG (344).JPG,Citrus canker,test,2025-12-21,344,sequence_0042,4,C,2,0.0135691119357943,pair_4d69746519bf01c26e04,candidate capture sequence requiring human verification
capture_review_5309a41fcafb,dataset/train/Citrus canker/2025_12_21_IMG (341).JPG,2025_12_21_IMG (341).JPG,Citrus canker,train,2025-12-21,341,sequence_0042,4,C,0,0.0049989786930382,pair_fda9158bbfa0a0780d61,candidate capture sequence requiring human verification
capture_review_5309a41fcafb,dataset/train/Citrus canker/2025_12_21_IMG (343).JPG,2025_12_21_IMG (343).JPG,Citrus canker,train,2025-12-21,343,sequence_0042,4,C,2,0.0161956194788217,pair_4d69746519bf01c26e04|pair_55204cd593d2a50d3dab,candidate capture sequence requiring human verification
capture_review_1c2dae0fa7db,dataset/test/Citrus canker/2025_12_21_IMG (374).JPG,2025_12_21_IMG (374).JPG,Citrus canker,test,2025-12-21,374,sequence_0043,2,C,0,0.0067127496004104,pair_1c2dae0fa7db18f1ac06,candidate capture sequence requiring human verification
capture_review_1c2dae0fa7db,dataset/train/Citrus canker/2025_12_21_IMG (375).JPG,2025_12_21_IMG (375).JPG,Citrus canker,train,2025-12-21,375,sequence_0043,2,C,0,0.0067127496004104,pair_1c2dae0fa7db18f1ac06,candidate capture sequence requiring human verification
capture_review_64208158d9c1,dataset/test/Citrus canker/2025_12_21_IMG (376).JPG,2025_12_21_IMG (376).JPG,Citrus canker,test,2025-12-21,376,sequence_0044,2,C,0,0.0178417339920997,pair_64208158d9c16ee74a28,candidate capture sequence requiring human verification
capture_review_64208158d9c1,dataset/train/Citrus canker/2025_12_21_IMG (377).JPG,2025_12_21_IMG (377).JPG,Citrus canker,train,2025-12-21,377,sequence_0044,2,C,0,0.0178417339920997,pair_64208158d9c16ee74a28,candidate capture sequence requiring human verification
capture_review_124faabc28f6,dataset/test/Citrus canker/2025_12_21_IMG (378).JPG,2025_12_21_IMG (378).JPG,Citrus canker,test,2025-12-21,378,sequence_0045,2,C,2,0.0142274945974349,pair_124faabc28f60d9c9df9,candidate capture sequence requiring human verification
capture_review_124faabc28f6,dataset/train/Citrus canker/2025_12_21_IMG (379).JPG,2025_12_21_IMG (379).JPG,Citrus canker,train,2025-12-21,379,sequence_0045,2,C,2,0.0142274945974349,pair_124faabc28f60d9c9df9,candidate capture sequence requiring human verification
capture_review_2cf42dbb2029,dataset/test/Citrus canker/2025_12_21_IMG (385).JPG,2025_12_21_IMG (385).JPG,Citrus canker,test,2025-12-21,385,sequence_0046,2,C,2,0.0130594484508037,pair_2cf42dbb202922004e43,candidate capture sequence requiring human verification
capture_review_2cf42dbb2029,dataset/train/Citrus canker/2025_12_21_IMG (384).JPG,2025_12_21_IMG (384).JPG,Citrus canker,train,2025-12-21,384,sequence_0046,2,C,2,0.0130594484508037,pair_2cf42dbb202922004e43,candidate capture sequence requiring human verification
capture_review_086ef21fdbc3,dataset/test/Citrus canker/2025_12_21_IMG (387).JPG,2025_12_21_IMG (387).JPG,Citrus canker,test,2025-12-21,387,sequence_0047,2,C,2,0.0231882538646459,pair_086ef21fdbc319dcca72,candidate capture sequence requiring human verification
capture_review_086ef21fdbc3,dataset/train/Citrus canker/2025_12_21_IMG (386).JPG,2025_12_21_IMG (386).JPG,Citrus canker,train,2025-12-21,386,sequence_0047,2,C,2,0.0231882538646459,pair_086ef21fdbc319dcca72,candidate capture sequence requiring human verification
