filepath,filename,class,split,extension,width,height,mode,format,frames,file_size_bytes,sha256,decode_ok,error,pillow_warnings
dataset/train/Algal leaf spot/2025_12_21_IMG (148).JPG,2025_12_21_IMG (148).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,51478,b4b305ba4869d2cb6245250a41db6122738a3ae17b887320967d19835dc9882c,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (149).JPG,2025_12_21_IMG (149).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,52240,37e9e413c13788cfb792f53cee3ee17d400a9c66d83ea050a354e633dd552485,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (152).JPG,2025_12_21_IMG (152).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,50284,2cb92e847345505ac5f193a60db399469dd2cc8e3c18760a33bc7170b73644f8,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (153).JPG,2025_12_21_IMG (153).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,51212,0f0a0f8bfb8f50ceba1c3937e10559e324098efb43267096dd33b6da6ad9b802,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (154).JPG,2025_12_21_IMG (154).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,50650,7656fe4c371cd879107f5639a4d67d6afde14a46a547aa21e416df42a079c059,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (157).JPG,2025_12_21_IMG (157).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,48680,4d2e16c9a10dff0558e575876e4b44eee887a86670c02b719d364a2b7fb83014,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (158).JPG,2025_12_21_IMG (158).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,48652,43d5b7b32c05f76518030b392b1c069b8c296541c1acdf0b530b6bb8afec4b43,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (159).JPG,2025_12_21_IMG (159).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,46965,42c71aebb60b71a44e031b3085ec817a893ed55fce43df548ae6f5b3bc36ef0c,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (16).JPG,2025_12_21_IMG (16).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,37101,595630861c81c85b3230accddd126527649f99710d3671c272dcf0d8ad3f27bd,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (162).JPG,2025_12_21_IMG (162).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,46547,26896423f510c2838fd47f1c06e81317569f9e3ec1a3478f19d236a900167d9b,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (164).JPG,2025_12_21_IMG (164).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,36999,eec1e5ed6db9c7f0014226bd4d798950423c9f0ceb35e0f44fc06ee56b272078,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (165).JPG,2025_12_21_IMG (165).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,33214,b36e7b4c510eda0495fb587ef008ba9936347cc2846917567c1513a7f4d21b65,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (166).JPG,2025_12_21_IMG (166).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,35943,144f1c4e9b731a4e07dcdce934bb725883bf6536fde60e67493ba8c10c9d2b20,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (167).JPG,2025_12_21_IMG (167).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,34300,948db8caa7980cd376fd82b07621e9d5ea4d892436105214ef682a2a9b6c61b5,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (168).JPG,2025_12_21_IMG (168).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,39717,8080324ac1052599ef6caefa62fb43584f047b99f5ed210625d33dc7662896a2,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (169).JPG,2025_12_21_IMG (169).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,35103,f5ef2f60090e0806750d3ac3c58b5cf460e67ef92d936e18a98d1fd3e1b15bfd,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (17).JPG,2025_12_21_IMG (17).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,42706,cb6fd5f5ecae3ca48bb62581c2449a4bbad41765c2132f740d78f3603e6ab140,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (171).JPG,2025_12_21_IMG (171).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,36616,f333e46566083f572a1491f542cb6bef082c7152117772c01472c62d13bc50e2,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (173).JPG,2025_12_21_IMG (173).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,36691,fde3823a2f8dc3a00447ec5bc68f6b9f29814a514901e2c5ff686f364ff5abdb,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (175).JPG,2025_12_21_IMG (175).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,35647,0c42abcf8663bb7343f68683fa82ea22e5d1c7c0c7c999f81ad2c3f748497fb3,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (176).JPG,2025_12_21_IMG (176).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,33091,d4ba996068a38c91d6818271970b37ccb2a9d16dd2487ef2472b77ac9f362200,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (177).JPG,2025_12_21_IMG (177).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,43584,962222a097e21934877084748c5f90e635eca23401b9840328f63109e8b839be,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (178).JPG,2025_12_21_IMG (178).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,41145,e66059a6100640f3c04d5cebf42a7f5d83c11e0745224f28cc859ac9f4532e95,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (179).JPG,2025_12_21_IMG (179).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,39618,302a0d3292567d0df15cccc89b1de55763da242c453532f3f8547f3ce119cfa9,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (18).JPG,2025_12_21_IMG (18).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,44651,2d908f45928fb83d519094ccc5c6a3a54330524bba35e42d2bde12e1e8972a5e,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (181).JPG,2025_12_21_IMG (181).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,40471,0fd980134a2953dc0fc4506e6265a298f47122355aa2ed193143c18e6229a55e,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (182).JPG,2025_12_21_IMG (182).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,39008,0274f43745c143fce0eb8e88d4137a2d198f18480f2a30be9139f992dde9bc2d,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (185).JPG,2025_12_21_IMG (185).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,39794,7ffb7347929c45f98e900e55f0f103fa1b5d0ec87d00fae75b6fe2adb22625aa,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (186).JPG,2025_12_21_IMG (186).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,40456,5cece352ce25f335ac9a43d2dd136f79f82b7e5fc2ad8295b063e9c416f3a79f,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (189).JPG,2025_12_21_IMG (189).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,36912,a1cd2bd528b27c9144464dd897a4f609b1528fdd6473d9d1feaee91e1ce9f16a,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (19).JPG,2025_12_21_IMG (19).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,42098,85e2ae7b13a4bc6d3ada1b23b19c941f46c24cb0a432a8fa05425309186cc0f2,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (191).JPG,2025_12_21_IMG (191).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,35922,edac13c4c14427b5e9f28cb6953ec7191d1faac803fc8766f1e3c9a90bc08817,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (192).JPG,2025_12_21_IMG (192).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,36957,4ada017e790b63290a842524c3c3d29b7cdca772505f7dcb5335f673bbc84b64,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (193).JPG,2025_12_21_IMG (193).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,36910,07e156b525309fd8dd3736bcf67e96ae740757e92633378b3313147694c20184,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (194).JPG,2025_12_21_IMG (194).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,38744,95885d159159afef4989278a615d7bcaa905fdf03d5161bab5134a5ae4a81467,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (195).JPG,2025_12_21_IMG (195).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,40772,bbd0f0a312f26bd97a226d31839d21284c05023166be78effc9599e83683b999,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (196).JPG,2025_12_21_IMG (196).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,42357,f0777b6c3a2d2b9702657f12ce566a1701546826e18b9b6ecd5d9916f6c3256e,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (197).JPG,2025_12_21_IMG (197).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,35298,44248926bc7495a0f2d36111d25885272028ddefcda3f3ad4015c53f302a8f6b,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (198).JPG,2025_12_21_IMG (198).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,38878,08b2c56ba018fd4773a9ea93482ebfe2d5b5dce64136e8d1f1ecad3a479d19e3,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (200).JPG,2025_12_21_IMG (200).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,34870,0cb5ddb0dcbaa2cef4580598905a9371c639662d2f827d04af5e9d5d7b68def1,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (202).JPG,2025_12_21_IMG (202).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,45520,d236cd864073d8a15253c9952d448c02094821a297613d2df08ae51f7d9da809,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (204).JPG,2025_12_21_IMG (204).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,44145,d8047200c69ade83ef377c984c4626ee250af54221d23e87b8491ff9ff3deabd,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (207).JPG,2025_12_21_IMG (207).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,40943,2c71a2d08db20104fa0f95018ad381835a9e5302d49390ab8e3b7739f714a7c1,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (208).JPG,2025_12_21_IMG (208).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,41123,f9fab7aa54fb3f6950ed2d9d9dae35fc31d201ebb3fc0f7f410f3f532e79963e,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (209).JPG,2025_12_21_IMG (209).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,36835,5d7472868557a9b1b9005eb042593664f4a92269166a5166dcf17579943f379a,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (21).JPG,2025_12_21_IMG (21).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,44245,2fac19cbb6c59e3b61be968051b099bbc3bc36c41cf9b39394278c200b29cbd1,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (210).JPG,2025_12_21_IMG (210).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,35464,d719615734a8cd2d592a2e31583d60f08a45d61f5020b382a78c39ba8c2c8c08,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (212).JPG,2025_12_21_IMG (212).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,45231,53a14b87acf58b2584ad4644f0aa7022f29b22cc3331db9cea8cb8d715385443,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (213).JPG,2025_12_21_IMG (213).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,45484,8bc1d6f92721d5f82227c83fb17ecd26d776fa1aed2489bc6f3b4de768bc74a1,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (214).JPG,2025_12_21_IMG (214).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,42702,6ba901eb23cddb4c12e9f756d2a0b986dba793c6d2c7b634c509a3d3227badeb,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (215).JPG,2025_12_21_IMG (215).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,34230,1e8d62a2afd3f216bacc86080bacc0327a056608b38b9ad345ecb85617164808,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (216).JPG,2025_12_21_IMG (216).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,44904,aac078d4dbbfde17254f4d1d956059f9e1b12c94296c52c04a2b413e5776e60e,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (217).JPG,2025_12_21_IMG (217).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,42917,d6525f13cd1ac6a797e3f0f300a977dc98fe7be3fa1e1385ddaf5a28df590278,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (218).JPG,2025_12_21_IMG (218).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,38787,4450e3c831adb6c9ce6870b70468489b8ffd07e4a603c9ddef31bb5aa5a41d2f,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (219).JPG,2025_12_21_IMG (219).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,34764,62f3528c877514d9d4e9bbc8560dce8d92ec11cbbfd8794095e477938a3a23ef,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (22).JPG,2025_12_21_IMG (22).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,43346,927414f25236332118e2cb6440d3a5c29ab8615e49c7aac40c29e955154e9a9b,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (222).JPG,2025_12_21_IMG (222).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,42477,cb0c60ba5ba65a75920e8dfe5b633e73f64459392fadcab4274689f9ac91de35,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (223).JPG,2025_12_21_IMG (223).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,33475,f6a3bd91b5069e3a13b1b6d5fd87ba9f8d0a80906fb221d26af31ac7f41a3f33,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (224).JPG,2025_12_21_IMG (224).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,31876,c116ea81bd80d86c272f9bc1de55076606e763913e5e2e7808c8fde1e6af5804,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (226).JPG,2025_12_21_IMG (226).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,40264,def4dbabd4654d37f312e9a644f49711499b8c1065c95975486c681435adf2b1,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (228).JPG,2025_12_21_IMG (228).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,37607,c4e86b2d9701705d2fd451d691ce59b9befb2a450faddcc766c2863137398459,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (229).JPG,2025_12_21_IMG (229).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,39333,2e4a67db06a27bda53171119171882737adb1c1f9408d2e2a852b4de9a7908f7,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (23).JPG,2025_12_21_IMG (23).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,40593,74ca8e657ef60cfb17a9349c2be991e2662fb54c739ecffd9e418a4153973d50,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (230).JPG,2025_12_21_IMG (230).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,36600,cd5e2b4366585cdb2966980550a5d8f92e3a5e992cbf46fc428452693cb3561d,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (231).JPG,2025_12_21_IMG (231).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,39030,b72291c8164317cc461076b27c49c9fb82e5a0426903891533d4a7cfa0023e07,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (233).JPG,2025_12_21_IMG (233).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,34939,8c2d0ce67b8edc79f1673b8af7d5a8a28caafe1d8e110cfb5ee5c30e2ce2fc44,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (235).JPG,2025_12_21_IMG (235).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,34490,71a6d1919dd5629c826f14e55b78f1823c5efa604bdeb0e27c021918d336d612,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (236).JPG,2025_12_21_IMG (236).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,38013,03b1bdef7d62270d0bd7fec893fb31c9245c68c1c06a3e51e2c3efbc3298e8fd,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (237).JPG,2025_12_21_IMG (237).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,46446,1770c0b3d733433375b1c6fb2c74c5e1b06f714848deefcd8690ef040251f482,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (238).JPG,2025_12_21_IMG (238).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,47645,ca8b5778367c65dd03df2cd29a6b34fbfb4d815e6e9f18bb959bf1c8154af85d,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (24).JPG,2025_12_21_IMG (24).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,41746,679f2cb258748a49c6f05f6d916f6c5d9fcbc5fec808bec30ca3275690e40132,True,,
