filepath,filename,class,split,date_token,image_number
dataset/train/Algal leaf spot/2025_12_21_IMG (133).JPG,2025_12_21_IMG (133).JPG,Algal leaf spot,train,2025-12-21,133
dataset/train/Algal leaf spot/2025_12_21_IMG (134).JPG,2025_12_21_IMG (134).JPG,Algal leaf spot,train,2025-12-21,134
dataset/train/Algal leaf spot/2025_12_21_IMG (137).JPG,2025_12_21_IMG (137).JPG,Algal leaf spot,train,2025-12-21,137
dataset/train/Algal leaf spot/2025_12_21_IMG (14).JPG,2025_12_21_IMG (14).JPG,Algal leaf spot,train,2025-12-21,14
dataset/train/Algal leaf spot/2025_12_21_IMG (140).JPG,2025_12_21_IMG (140).JPG,Algal leaf spot,train,2025-12-21,140
dataset/train/Algal leaf spot/2025_12_21_IMG (142).JPG,2025_12_21_IMG (142).JPG,Algal leaf spot,train,2025-12-21,142
dataset/train/Algal leaf spot/2025_12_21_IMG (144).JPG,2025_12_21_IMG (144).JPG,Algal leaf spot,train,2025-12-21,144
dataset/train/Algal leaf spot/2025_12_21_IMG (148).JPG,2025_12_21_IMG (148).JPG,Algal leaf spot,train,2025-12-21,148
dataset/train/Algal leaf spot/2025_12_21_IMG (149).JPG,2025_12_21_IMG (149).JPG,Algal leaf spot,train,2025-12-21,149
dataset/train/Algal leaf spot/2025_12_21_IMG (152).JPG,2025_12_21_IMG (152).JPG,Algal leaf spot,train,2025-12-21,152
dataset/train/Algal leaf spot/2025_12_21_IMG (153).JPG,2025_12_21_IMG (153).JPG,Algal leaf spot,train,2025-12-21,153
dataset/train/Algal leaf spot/2025_12_21_IMG (154).JPG,2025_12_21_IMG (154).JPG,Algal leaf spot,train,2025-12-21,154
dataset/train/Algal leaf spot/2025_12_21_IMG (157).JPG,2025_12_21_IMG (157).JPG,Algal leaf spot,train,2025-12-21,157
dataset/train/Algal leaf spot/2025_12_21_IMG (158).JPG,2025_12_21_IMG (158).JPG,Algal leaf spot,train,2025-12-21,158
dataset/train/Algal leaf spot/2025_12_21_IMG (159).JPG,2025_12_21_IMG (159).JPG,Algal leaf spot,train,2025-12-21,159
dataset/train/Algal leaf spot/2025_12_21_IMG (16).JPG,2025_12_21_IMG (16).JPG,Algal leaf spot,train,2025-12-21,16
dataset/train/Algal leaf spot/2025_12_21_IMG (162).JPG,2025_12_21_IMG (162).JPG,Algal leaf spot,train,2025-12-21,162
dataset/train/Algal leaf spot/2025_12_21_IMG (164).JPG,2025_12_21_IMG (164).JPG,Algal leaf spot,train,2025-12-21,164
dataset/train/Algal leaf spot/2025_12_21_IMG (165).JPG,2025_12_21_IMG (165).JPG,Algal leaf spot,train,2025-12-21,165
dataset/train/Algal leaf spot/2025_12_21_IMG (166).JPG,2025_12_21_IMG (166).JPG,Algal leaf spot,train,2025-12-21,166
dataset/train/Algal leaf spot/2025_12_21_IMG (167).JPG,2025_12_21_IMG (167).JPG,Algal leaf spot,train,2025-12-21,167
dataset/train/Algal leaf spot/2025_12_21_IMG (168).JPG,2025_12_21_IMG (168).JPG,Algal leaf spot,train,2025-12-21,168
dataset/train/Algal leaf spot/2025_12_21_IMG (169).JPG,2025_12_21_IMG (169).JPG,Algal leaf spot,train,2025-12-21,169
dataset/train/Algal leaf spot/2025_12_21_IMG (17).JPG,2025_12_21_IMG (17).JPG,Algal leaf spot,train,2025-12-21,17
dataset/train/Algal leaf spot/2025_12_21_IMG (171).JPG,2025_12_21_IMG (171).JPG,Algal leaf spot,train,2025-12-21,171
dataset/train/Algal leaf spot/2025_12_21_IMG (173).JPG,2025_12_21_IMG (173).JPG,Algal leaf spot,train,2025-12-21,173
dataset/train/Algal leaf spot/2025_12_21_IMG (175).JPG,2025_12_21_IMG (175).JPG,Algal leaf spot,train,2025-12-21,175
dataset/train/Algal leaf spot/2025_12_21_IMG (176).JPG,2025_12_21_IMG (176).JPG,Algal leaf spot,train,2025-12-21,176
dataset/train/Algal leaf spot/2025_12_21_IMG (177).JPG,2025_12_21_IMG (177).JPG,Algal leaf spot,train,2025-12-21,177
dataset/train/Algal leaf spot/2025_12_21_IMG (178).JPG,2025_12_21_IMG (178).JPG,Algal leaf spot,train,2025-12-21,178
dataset/train/Algal leaf spot/2025_12_21_IMG (179).JPG,2025_12_21_IMG (179).JPG,Algal leaf spot,train,2025-12-21,179
dataset/train/Algal leaf spot/2025_12_21_IMG (18).JPG,2025_12_21_IMG (18).JPG,Algal leaf spot,train,2025-12-21,18
dataset/train/Algal leaf spot/2025_12_21_IMG (181).JPG,2025_12_21_IMG (181).JPG,Algal leaf spot,train,2025-12-21,181
dataset/train/Algal leaf spot/2025_12_21_IMG (182).JPG,2025_12_21_IMG (182).JPG,Algal leaf spot,train,2025-12-21,182
dataset/train/Algal leaf spot/2025_12_21_IMG (185).JPG,2025_12_21_IMG (185).JPG,Algal leaf spot,train,2025-12-21,185
dataset/train/Algal leaf spot/2025_12_21_IMG (186).JPG,2025_12_21_IMG (186).JPG,Algal leaf spot,train,2025-12-21,186
dataset/train/Algal leaf spot/2025_12_21_IMG (189).JPG,2025_12_21_IMG (189).JPG,Algal leaf spot,train,2025-12-21,189
dataset/train/Algal leaf spot/2025_12_21_IMG (19).JPG,2025_12_21_IMG (19).JPG,Algal leaf spot,train,2025-12-21,19
dataset/train/Algal leaf spot/2025_12_21_IMG (191).JPG,2025_12_21_IMG (191).JPG,Algal leaf spot,train,2025-12-21,191
dataset/train/Algal leaf spot/2025_12_21_IMG (192).JPG,2025_12_21_IMG (192).JPG,Algal leaf spot,train,2025-12-21,192
dataset/train/Algal leaf spot/2025_12_21_IMG (193).JPG,2025_12_21_IMG (193).JPG,Algal leaf spot,train,2025-12-21,193
dataset/train/Algal leaf spot/2025_12_21_IMG (194).JPG,2025_12_21_IMG (194).JPG,Algal leaf spot,train,2025-12-21,194
dataset/train/Algal leaf spot/2025_12_21_IMG (195).JPG,2025_12_21_IMG (195).JPG,Algal leaf spot,train,2025-12-21,195
dataset/train/Algal leaf spot/2025_12_21_IMG (196).JPG,2025_12_21_IMG (196).JPG,Algal leaf spot,train,2025-12-21,196
dataset/train/Algal leaf spot/2025_12_21_IMG (197).JPG,2025_12_21_IMG (197).JPG,Algal leaf spot,train,2025-12-21,197
dataset/train/Algal leaf spot/2025_12_21_IMG (198).JPG,2025_12_21_IMG (198).JPG,Algal leaf spot,train,2025-12-21,198
dataset/train/Algal leaf spot/2025_12_21_IMG (200).JPG,2025_12_21_IMG (200).JPG,Algal leaf spot,train,2025-12-21,200
dataset/train/Algal leaf spot/2025_12_21_IMG (202).JPG,2025_12_21_IMG (202).JPG,Algal leaf spot,train,2025-12-21,202
dataset/train/Algal leaf spot/2025_12_21_IMG (204).JPG,2025_12_21_IMG (204).JPG,Algal leaf spot,train,2025-12-21,204
dataset/train/Algal leaf spot/2025_12_21_IMG (207).JPG,2025_12_21_IMG (207).JPG,Algal leaf spot,train,2025-12-21,207
dataset/train/Algal leaf spot/2025_12_21_IMG (208).JPG,2025_12_21_IMG (208).JPG,Algal leaf spot,train,2025-12-21,208
dataset/train/Algal leaf spot/2025_12_21_IMG (209).JPG,2025_12_21_IMG (209).JPG,Algal leaf spot,train,2025-12-21,209
dataset/train/Algal leaf spot/2025_12_21_IMG (21).JPG,2025_12_21_IMG (21).JPG,Algal leaf spot,train,2025-12-21,21
dataset/train/Algal leaf spot/2025_12_21_IMG (210).JPG,2025_12_21_IMG (210).JPG,Algal leaf spot,train,2025-12-21,210
dataset/train/Algal leaf spot/2025_12_21_IMG (212).JPG,2025_12_21_IMG (212).JPG,Algal leaf spot,train,2025-12-21,212
dataset/train/Algal leaf spot/2025_12_21_IMG (213).JPG,2025_12_21_IMG (213).JPG,Algal leaf spot,train,2025-12-21,213
dataset/train/Algal leaf spot/2025_12_21_IMG (214).JPG,2025_12_21_IMG (214).JPG,Algal leaf spot,train,2025-12-21,214
dataset/train/Algal leaf spot/2025_12_21_IMG (215).JPG,2025_12_21_IMG (215).JPG,Algal leaf spot,train,2025-12-21,215
dataset/train/Algal leaf spot/2025_12_21_IMG (216).JPG,2025_12_21_IMG (216).JPG,Algal leaf spot,train,2025-12-21,216
dataset/train/Algal leaf spot/2025_12_21_IMG (217).JPG,2025_12_21_IMG (217).JPG,Algal leaf spot,train,2025-12-21,217
dataset/train/Algal leaf spot/2025_12_21_IMG (218).JPG,2025_12_21_IMG (218).JPG,Algal leaf spot,train,2025-12-21,218
dataset/train/Algal leaf spot/2025_12_21_IMG (219).JPG,2025_12_21_IMG (219).JPG,Algal leaf spot,train,2025-12-21,219
dataset/train/Algal leaf spot/2025_12_21_IMG (22).JPG,2025_12_21_IMG (22).JPG,Algal leaf spot,train,2025-12-21,22
dataset/train/Algal leaf spot/2025_12_21_IMG (222).JPG,2025_12_21_IMG (222).JPG,Algal leaf spot,train,2025-12-21,222
dataset/train/Algal leaf spot/2025_12_21_IMG (223).JPG,2025_12_21_IMG (223).JPG,Algal leaf spot,train,2025-12-21,223
dataset/train/Algal leaf spot/2025_12_21_IMG (224).JPG,2025_12_21_IMG (224).JPG,Algal leaf spot,train,2025-12-21,224
dataset/train/Algal leaf spot/2025_12_21_IMG (226).JPG,2025_12_21_IMG (226).JPG,Algal leaf spot,train,2025-12-21,226
dataset/train/Algal leaf spot/2025_12_21_IMG (228).JPG,2025_12_21_IMG (228).JPG,Algal leaf spot,train,2025-12-21,228
dataset/train/Algal leaf spot/2025_12_21_IMG (229).JPG,2025_12_21_IMG (229).JPG,Algal leaf spot,train,2025-12-21,229
dataset/train/Algal leaf spot/2025_12_21_IMG (23).JPG,2025_12_21_IMG (23).JPG,Algal leaf spot,train,2025-12-21,23
dataset/train/Algal leaf spot/2025_12_21_IMG (230).JPG,2025_12_21_IMG (230).JPG,Algal leaf spot,train,2025-12-21,230
dataset/train/Algal leaf spot/2025_12_21_IMG (231).JPG,2025_12_21_IMG (231).JPG,Algal leaf spot,train,2025-12-21,231
dataset/train/Algal leaf spot/2025_12_21_IMG (233).JPG,2025_12_21_IMG (233).JPG,Algal leaf spot,train,2025-12-21,233
dataset/train/Algal leaf spot/2025_12_21_IMG (235).JPG,2025_12_21_IMG (235).JPG,Algal leaf spot,train,2025-12-21,235
dataset/train/Algal leaf spot/2025_12_21_IMG (236).JPG,2025_12_21_IMG (236).JPG,Algal leaf spot,train,2025-12-21,236
dataset/train/Algal leaf spot/2025_12_21_IMG (237).JPG,2025_12_21_IMG (237).JPG,Algal leaf spot,train,2025-12-21,237
dataset/train/Algal leaf spot/2025_12_21_IMG (238).JPG,2025_12_21_IMG (238).JPG,Algal leaf spot,train,2025-12-21,238
dataset/train/Algal leaf spot/2025_12_21_IMG (24).JPG,2025_12_21_IMG (24).JPG,Algal leaf spot,train,2025-12-21,24
dataset/train/Algal leaf spot/2025_12_21_IMG (240).JPG,2025_12_21_IMG (240).JPG,Algal leaf spot,train,2025-12-21,240
dataset/train/Algal leaf spot/2025_12_21_IMG (241).JPG,2025_12_21_IMG (241).JPG,Algal leaf spot,train,2025-12-21,241
dataset/train/Algal leaf spot/2025_12_21_IMG (242).JPG,2025_12_21_IMG (242).JPG,Algal leaf spot,train,2025-12-21,242
dataset/train/Algal leaf spot/2025_12_21_IMG (243).JPG,2025_12_21_IMG (243).JPG,Algal leaf spot,train,2025-12-21,243
dataset/train/Algal leaf spot/2025_12_21_IMG (244).JPG,2025_12_21_IMG (244).JPG,Algal leaf spot,train,2025-12-21,244
dataset/train/Algal leaf spot/2025_12_21_IMG (247).JPG,2025_12_21_IMG (247).JPG,Algal leaf spot,train,2025-12-21,247
dataset/train/Algal leaf spot/2025_12_21_IMG (249).JPG,2025_12_21_IMG (249).JPG,Algal leaf spot,train,2025-12-21,249
dataset/train/Algal leaf spot/2025_12_21_IMG (25).JPG,2025_12_21_IMG (25).JPG,Algal leaf spot,train,2025-12-21,25
dataset/train/Algal leaf spot/2025_12_21_IMG (250).JPG,2025_12_21_IMG (250).JPG,Algal leaf spot,train,2025-12-21,250
dataset/train/Algal leaf spot/2025_12_21_IMG (251).JPG,2025_12_21_IMG (251).JPG,Algal leaf spot,train,2025-12-21,251
dataset/train/Algal leaf spot/2025_12_21_IMG (252).JPG,2025_12_21_IMG (252).JPG,Algal leaf spot,train,2025-12-21,252
dataset/train/Algal leaf spot/2025_12_21_IMG (255).JPG,2025_12_21_IMG (255).JPG,Algal leaf spot,train,2025-12-21,255
dataset/train/Algal leaf spot/2025_12_21_IMG (259).JPG,2025_12_21_IMG (259).JPG,Algal leaf spot,train,2025-12-21,259
dataset/train/Algal leaf spot/2025_12_21_IMG (26).JPG,2025_12_21_IMG (26).JPG,Algal leaf spot,train,2025-12-21,26
dataset/train/Algal leaf spot/2025_12_21_IMG (261).JPG,2025_12_21_IMG (261).JPG,Algal leaf spot,train,2025-12-21,261
dataset/train/Algal leaf spot/2025_12_21_IMG (262).JPG,2025_12_21_IMG (262).JPG,Algal leaf spot,train,2025-12-21,262
dataset/train/Algal leaf spot/2025_12_21_IMG (263).JPG,2025_12_21_IMG (263).JPG,Algal leaf spot,train,2025-12-21,263
dataset/train/Algal leaf spot/2025_12_21_IMG (265).JPG,2025_12_21_IMG (265).JPG,Algal leaf spot,train,2025-12-21,265
dataset/train/Algal leaf spot/2025_12_21_IMG (268).JPG,2025_12_21_IMG (268).JPG,Algal leaf spot,train,2025-12-21,268
dataset/train/Algal leaf spot/2025_12_21_IMG (269).JPG,2025_12_21_IMG (269).JPG,Algal leaf spot,train,2025-12-21,269
dataset/train/Algal leaf spot/2025_12_21_IMG (27).JPG,2025_12_21_IMG (27).JPG,Algal leaf spot,train,2025-12-21,27
dataset/train/Algal leaf spot/2025_12_21_IMG (270).JPG,2025_12_21_IMG (270).JPG,Algal leaf spot,train,2025-12-21,270
dataset/train/Algal leaf spot/2025_12_21_IMG (271).JPG,2025_12_21_IMG (271).JPG,Algal leaf spot,train,2025-12-21,271
dataset/train/Algal leaf spot/2025_12_21_IMG (272).JPG,2025_12_21_IMG (272).JPG,Algal leaf spot,train,2025-12-21,272
dataset/train/Algal leaf spot/2025_12_21_IMG (275).JPG,2025_12_21_IMG (275).JPG,Algal leaf spot,train,2025-12-21,275
dataset/train/Algal leaf spot/2025_12_21_IMG (277).JPG,2025_12_21_IMG (277).JPG,Algal leaf spot,train,2025-12-21,277
dataset/train/Algal leaf spot/2025_12_21_IMG (279).JPG,2025_12_21_IMG (279).JPG,Algal leaf spot,train,2025-12-21,279
dataset/train/Algal leaf spot/2025_12_21_IMG (28).JPG,2025_12_21_IMG (28).JPG,Algal leaf spot,train,2025-12-21,28
dataset/train/Algal leaf spot/2025_12_21_IMG (280).JPG,2025_12_21_IMG (280).JPG,Algal leaf spot,train,2025-12-21,280
dataset/train/Algal leaf spot/2025_12_21_IMG (281).JPG,2025_12_21_IMG (281).JPG,Algal leaf spot,train,2025-12-21,281
dataset/train/Algal leaf spot/2025_12_21_IMG (282).JPG,2025_12_21_IMG (282).JPG,Algal leaf spot,train,2025-12-21,282
dataset/train/Algal leaf spot/2025_12_21_IMG (283).JPG,2025_12_21_IMG (283).JPG,Algal leaf spot,train,2025-12-21,283
dataset/train/Algal leaf spot/2025_12_21_IMG (284).JPG,2025_12_21_IMG (284).JPG,Algal leaf spot,train,2025-12-21,284
dataset/train/Algal leaf spot/2025_12_21_IMG (285).JPG,2025_12_21_IMG (285).JPG,Algal leaf spot,train,2025-12-21,285
dataset/train/Algal leaf spot/2025_12_21_IMG (286).JPG,2025_12_21_IMG (286).JPG,Algal leaf spot,train,2025-12-21,286
dataset/train/Algal leaf spot/2025_12_21_IMG (287).JPG,2025_12_21_IMG (287).JPG,Algal leaf spot,train,2025-12-21,287
dataset/train/Algal leaf spot/2025_12_21_IMG (288).JPG,2025_12_21_IMG (288).JPG,Algal leaf spot,train,2025-12-21,288
dataset/train/Algal leaf spot/2025_12_21_IMG (29).JPG,2025_12_21_IMG (29).JPG,Algal leaf spot,train,2025-12-21,29
dataset/train/Algal leaf spot/2025_12_21_IMG (290).JPG,2025_12_21_IMG (290).JPG,Algal leaf spot,train,2025-12-21,290
dataset/train/Algal leaf spot/2025_12_21_IMG (295).JPG,2025_12_21_IMG (295).JPG,Algal leaf spot,train,2025-12-21,295
dataset/train/Algal leaf spot/2025_12_21_IMG (296).JPG,2025_12_21_IMG (296).JPG,Algal leaf spot,train,2025-12-21,296
dataset/train/Algal leaf spot/2025_12_21_IMG (297).JPG,2025_12_21_IMG (297).JPG,Algal leaf spot,train,2025-12-21,297
dataset/train/Algal leaf spot/2025_12_21_IMG (298).JPG,2025_12_21_IMG (298).JPG,Algal leaf spot,train,2025-12-21,298
dataset/train/Algal leaf spot/2025_12_21_IMG (299).JPG,2025_12_21_IMG (299).JPG,Algal leaf spot,train,2025-12-21,299
dataset/train/Algal leaf spot/2025_12_21_IMG (3).JPG,2025_12_21_IMG (3).JPG,Algal leaf spot,train,2025-12-21,3
dataset/train/Algal leaf spot/2025_12_21_IMG (30).JPG,2025_12_21_IMG (30).JPG,Algal leaf spot,train,2025-12-21,30
dataset/train/Algal leaf spot/2025_12_21_IMG (300).JPG,2025_12_21_IMG (300).JPG,Algal leaf spot,train,2025-12-21,300
dataset/train/Algal leaf spot/2025_12_21_IMG (301).JPG,2025_12_21_IMG (301).JPG,Algal leaf spot,train,2025-12-21,301
dataset/train/Algal leaf spot/2025_12_21_IMG (302).JPG,2025_12_21_IMG (302).JPG,Algal leaf spot,train,2025-12-21,302
dataset/train/Algal leaf spot/2025_12_21_IMG (303).JPG,2025_12_21_IMG (303).JPG,Algal leaf spot,train,2025-12-21,303
dataset/train/Algal leaf spot/2025_12_21_IMG (304).JPG,2025_12_21_IMG (304).JPG,Algal leaf spot,train,2025-12-21,304
dataset/train/Algal leaf spot/2025_12_21_IMG (306).JPG,2025_12_21_IMG (306).JPG,Algal leaf spot,train,2025-12-21,306
dataset/train/Algal leaf spot/2025_12_21_IMG (307).JPG,2025_12_21_IMG (307).JPG,Algal leaf spot,train,2025-12-21,307
dataset/train/Algal leaf spot/2025_12_21_IMG (308).JPG,2025_12_21_IMG (308).JPG,Algal leaf spot,train,2025-12-21,308
dataset/train/Algal leaf spot/2025_12_21_IMG (309).JPG,2025_12_21_IMG (309).JPG,Algal leaf spot,train,2025-12-21,309
dataset/train/Algal leaf spot/2025_12_21_IMG (31).JPG,2025_12_21_IMG (31).JPG,Algal leaf spot,train,2025-12-21,31
dataset/train/Algal leaf spot/2025_12_21_IMG (32).JPG,2025_12_21_IMG (32).JPG,Algal leaf spot,train,2025-12-21,32
dataset/train/Algal leaf spot/2025_12_21_IMG (33).JPG,2025_12_21_IMG (33).JPG,Algal leaf spot,train,2025-12-21,33
dataset/train/Algal leaf spot/2025_12_21_IMG (34).JPG,2025_12_21_IMG (34).JPG,Algal leaf spot,train,2025-12-21,34
dataset/train/Algal leaf spot/2025_12_21_IMG (36).JPG,2025_12_21_IMG (36).JPG,Algal leaf spot,train,2025-12-21,36
dataset/train/Algal leaf spot/2025_12_21_IMG (37).JPG,2025_12_21_IMG (37).JPG,Algal leaf spot,train,2025-12-21,37
dataset/train/Algal leaf spot/2025_12_21_IMG (38).JPG,2025_12_21_IMG (38).JPG,Algal leaf spot,train,2025-12-21,38
dataset/train/Algal leaf spot/2025_12_21_IMG (39).JPG,2025_12_21_IMG (39).JPG,Algal leaf spot,train,2025-12-21,39
dataset/train/Algal leaf spot/2025_12_21_IMG (4).JPG,2025_12_21_IMG (4).JPG,Algal leaf spot,train,2025-12-21,4
dataset/train/Algal leaf spot/2025_12_21_IMG (40).JPG,2025_12_21_IMG (40).JPG,Algal leaf spot,train,2025-12-21,40
dataset/train/Algal leaf spot/2025_12_21_IMG (41).JPG,2025_12_21_IMG (41).JPG,Algal leaf spot,train,2025-12-21,41
dataset/train/Algal leaf spot/2025_12_21_IMG (42).JPG,2025_12_21_IMG (42).JPG,Algal leaf spot,train,2025-12-21,42
dataset/train/Algal leaf spot/2025_12_21_IMG (43).JPG,2025_12_21_IMG (43).JPG,Algal leaf spot,train,2025-12-21,43
dataset/train/Algal leaf spot/2025_12_21_IMG (45).JPG,2025_12_21_IMG (45).JPG,Algal leaf spot,train,2025-12-21,45
dataset/train/Algal leaf spot/2025_12_21_IMG (46).JPG,2025_12_21_IMG (46).JPG,Algal leaf spot,train,2025-12-21,46
dataset/train/Algal leaf spot/2025_12_21_IMG (48).JPG,2025_12_21_IMG (48).JPG,Algal leaf spot,train,2025-12-21,48
dataset/train/Algal leaf spot/2025_12_21_IMG (49).JPG,2025_12_21_IMG (49).JPG,Algal leaf spot,train,2025-12-21,49
dataset/train/Algal leaf spot/2025_12_21_IMG (5).JPG,2025_12_21_IMG (5).JPG,Algal leaf spot,train,2025-12-21,5
dataset/train/Algal leaf spot/2025_12_21_IMG (50).JPG,2025_12_21_IMG (50).JPG,Algal leaf spot,train,2025-12-21,50
dataset/train/Algal leaf spot/2025_12_21_IMG (51).JPG,2025_12_21_IMG (51).JPG,Algal leaf spot,train,2025-12-21,51
dataset/train/Algal leaf spot/2025_12_21_IMG (53).JPG,2025_12_21_IMG (53).JPG,Algal leaf spot,train,2025-12-21,53
dataset/train/Algal leaf spot/2025_12_21_IMG (55).JPG,2025_12_21_IMG (55).JPG,Algal leaf spot,train,2025-12-21,55
dataset/train/Algal leaf spot/2025_12_21_IMG (56).JPG,2025_12_21_IMG (56).JPG,Algal leaf spot,train,2025-12-21,56
dataset/train/Algal leaf spot/2025_12_21_IMG (57).JPG,2025_12_21_IMG (57).JPG,Algal leaf spot,train,2025-12-21,57
dataset/train/Algal leaf spot/2025_12_21_IMG (58).JPG,2025_12_21_IMG (58).JPG,Algal leaf spot,train,2025-12-21,58
dataset/train/Algal leaf spot/2025_12_21_IMG (59).JPG,2025_12_21_IMG (59).JPG,Algal leaf spot,train,2025-12-21,59
dataset/train/Algal leaf spot/2025_12_21_IMG (60).JPG,2025_12_21_IMG (60).JPG,Algal leaf spot,train,2025-12-21,60
dataset/train/Algal leaf spot/2025_12_21_IMG (61).JPG,2025_12_21_IMG (61).JPG,Algal leaf spot,train,2025-12-21,61
dataset/train/Algal leaf spot/2025_12_21_IMG (62).JPG,2025_12_21_IMG (62).JPG,Algal leaf spot,train,2025-12-21,62
dataset/train/Algal leaf spot/2025_12_21_IMG (63).JPG,2025_12_21_IMG (63).JPG,Algal leaf spot,train,2025-12-21,63
dataset/train/Algal leaf spot/2025_12_21_IMG (64).JPG,2025_12_21_IMG (64).JPG,Algal leaf spot,train,2025-12-21,64
dataset/train/Algal leaf spot/2025_12_21_IMG (66).JPG,2025_12_21_IMG (66).JPG,Algal leaf spot,train,2025-12-21,66
dataset/train/Algal leaf spot/2025_12_21_IMG (67).JPG,2025_12_21_IMG (67).JPG,Algal leaf spot,train,2025-12-21,67
dataset/train/Algal leaf spot/2025_12_21_IMG (69).JPG,2025_12_21_IMG (69).JPG,Algal leaf spot,train,2025-12-21,69
dataset/train/Algal leaf spot/2025_12_21_IMG (7).JPG,2025_12_21_IMG (7).JPG,Algal leaf spot,train,2025-12-21,7
dataset/train/Algal leaf spot/2025_12_21_IMG (70).JPG,2025_12_21_IMG (70).JPG,Algal leaf spot,train,2025-12-21,70
dataset/train/Algal leaf spot/2025_12_21_IMG (72).JPG,2025_12_21_IMG (72).JPG,Algal leaf spot,train,2025-12-21,72
dataset/train/Algal leaf spot/2025_12_21_IMG (75).JPG,2025_12_21_IMG (75).JPG,Algal leaf spot,train,2025-12-21,75
dataset/train/Algal leaf spot/2025_12_21_IMG (76).JPG,2025_12_21_IMG (76).JPG,Algal leaf spot,train,2025-12-21,76
dataset/train/Algal leaf spot/2025_12_21_IMG (77).JPG,2025_12_21_IMG (77).JPG,Algal leaf spot,train,2025-12-21,77
dataset/train/Algal leaf spot/2025_12_21_IMG (8).JPG,2025_12_21_IMG (8).JPG,Algal leaf spot,train,2025-12-21,8
