filepath,filename,class,current_split,sha256,visual_group_id,visual_group_size,capture_sequence_id,review_status
dataset/test/Algal leaf spot/2025_12_21_IMG (2).JPG,2025_12_21_IMG (2).JPG,Algal leaf spot,test,e8979abdcf2b95baf706c39b395524ef4998bf1c50b725c98d383ca0398fcee1,cluster_0020,1,sequence_0011,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (20).JPG,2025_12_21_IMG (20).JPG,Algal leaf spot,test,8ab4687b01f5f79fec9fe001797d98fa5b2d05a3e2079f66a8bed773a245b6af,cluster_0021,1,sequence_0012,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (201).JPG,2025_12_21_IMG (201).JPG,Algal leaf spot,test,2736f12c5dae6f2d7505d52a2a28312db843643bd648d9e93950295a9994a5d9,cluster_0022,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (206).JPG,2025_12_21_IMG (206).JPG,Algal leaf spot,test,1bcf8df0ca8922e5690bbead7b6614898d75bf7296ff3db08b5e02340b7a1c94,cluster_0023,1,sequence_0013,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (211).JPG,2025_12_21_IMG (211).JPG,Algal leaf spot,test,1412ae304aeb40aa14761588b60028f7190048cdb6191769b1f5ac20376ff017,cluster_0024,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (220).JPG,2025_12_21_IMG (220).JPG,Algal leaf spot,test,8863b8eecdaa9b656735c31429f3632109b16b286f978205068198d936c5b46a,cluster_0025,1,sequence_0014,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (225).JPG,2025_12_21_IMG (225).JPG,Algal leaf spot,test,df07bc41b1f36ff8b4db42e32c58b375f4a6f2d7fcc34726dbdb57a5ba5b10f2,cluster_0026,1,sequence_0015,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (227).JPG,2025_12_21_IMG (227).JPG,Algal leaf spot,test,27aeba3496125835fb5695a641c8dbc398432b10b51eeabc7f50dd92041193e2,cluster_0027,1,sequence_0015,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (234).JPG,2025_12_21_IMG (234).JPG,Algal leaf spot,test,0e4275467ce82540b2a16d79bb69163ac544d126249c473e176b17fba25bf805,cluster_0028,1,sequence_0016,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (254).JPG,2025_12_21_IMG (254).JPG,Algal leaf spot,test,834d4c73a9e7c358f93d855fd3547c4d5cb756f68d7b1f1eb7b320c6359f9ee0,cluster_0029,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (256).JPG,2025_12_21_IMG (256).JPG,Algal leaf spot,test,cfa719d20153f6d53aaffb87f78d9133ab9aa668e020dc25d7a284dc879e1495,cluster_0030,1,sequence_0017,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (258).JPG,2025_12_21_IMG (258).JPG,Algal leaf spot,test,d475a84e11fc30453b129d559d514003a94c6645c9aae1503de22b74aa157765,cluster_0031,1,sequence_0018,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (264).JPG,2025_12_21_IMG (264).JPG,Algal leaf spot,test,f960ee4e1dc290e44bb076cc1a5397d4edff5c56540617543ff55c049a229746,cluster_0032,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (266).JPG,2025_12_21_IMG (266).JPG,Algal leaf spot,test,0fad7b5bdc848761b25818aed8e98bd075759239bae6d20e2e0cf14534a3cee9,cluster_0033,1,,weak candidate only; singleton
dataset/test/Algal leaf spot/2025_12_21_IMG (273).JPG,2025_12_21_IMG (273).JPG,Algal leaf spot,test,cdc6fe33d8512d2fbb5ab1a218a8c43b7aee8369cd1d9b4edb45ed35435dccd1,cluster_0034,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (274).JPG,2025_12_21_IMG (274).JPG,Algal leaf spot,test,66bdd20206cf0d942cbbda14c3a4dd028ecfb942b26aa7bb1c63fb68e86b310d,cluster_0035,1,sequence_0019,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (292).JPG,2025_12_21_IMG (292).JPG,Algal leaf spot,test,6c3c072a6df0036dd44ef4e87bb1d064a87aaa71231e964fea330677b3adaf48,cluster_0036,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (294).JPG,2025_12_21_IMG (294).JPG,Algal leaf spot,test,2d208b7e2425faf4be63b8be488081789c8beecef8a4836fae8a177d7f7d2cc1,cluster_0037,1,sequence_0020,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (305).JPG,2025_12_21_IMG (305).JPG,Algal leaf spot,test,2a64a8e287d21b4ad3fd827a00cea3ef25eef54533b46806a658eb5240e4a02a,cluster_0038,1,sequence_0021,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (310).JPG,2025_12_21_IMG (310).JPG,Algal leaf spot,test,9638616d327a23abf1cf531407eb6f4401e588579e7d9af022f1d84155a30d05,cluster_0039,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (52).JPG,2025_12_21_IMG (52).JPG,Algal leaf spot,test,ae8d6a52c8a496eb3874e901bfbb56a382362574a655e43d6f452d10af1e911c,cluster_0040,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (71).JPG,2025_12_21_IMG (71).JPG,Algal leaf spot,test,036cd715bee5aee9fc3d2d6e47c04df9f8cd130ab62a4b743e4d68597b16b1cf,cluster_0041,1,,weak candidate only; singleton
dataset/test/Algal leaf spot/2025_12_21_IMG (78).JPG,2025_12_21_IMG (78).JPG,Algal leaf spot,test,5b217c5ce61699d7b21fe4305151582f1b614fe1f07d2e4c6a1041e2d7ad490f,cluster_0042,1,sequence_0022,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (79).JPG,2025_12_21_IMG (79).JPG,Algal leaf spot,test,62a76e17025c2ed450ec9e99b14a151522d1e753ee2a2f26dfed944b17685dea,cluster_0043,1,sequence_0022,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (88).JPG,2025_12_21_IMG (88).JPG,Algal leaf spot,test,7a8fed725abeb7af534d35ad2f81c26f6d7624197528e676c561f77c1dc790fb,cluster_0044,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (90).JPG,2025_12_21_IMG (90).JPG,Algal leaf spot,test,5d2d70fdefaa800c164098b0d0999efc3ef3b147308f8a73bd7f2a850eb75084,cluster_0045,1,,weak candidate only; singleton
dataset/test/Algal leaf spot/2025_12_21_IMG (92).JPG,2025_12_21_IMG (92).JPG,Algal leaf spot,test,25c0fb07d30533362bb93aec790979fbb0511c4d90d3894db3ea510fddcb5284,cluster_0046,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (93).JPG,2025_12_21_IMG (93).JPG,Algal leaf spot,test,ed32a9e1185f7352136fb223e1b3dbe875230baa3dd2e833cda536d4c0c5880b,cluster_0047,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (101).JPG,2025_12_20_IMG (101).JPG,Black spot,test,cca6d18e47c016ea8e3805c6c4597a3ee626883c93361b208f0bcd5fc74ccfe2,cluster_0048,1,sequence_0023,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (11).JPG,2025_12_20_IMG (11).JPG,Black spot,test,9740f187b46b9fbf12b402fdbc04e2a2ae2b6515bfcc9a9a51be483b255c36bb,cluster_0049,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (110).JPG,2025_12_20_IMG (110).JPG,Black spot,test,0c00fb4869a82f0b8e19992e87b826aba402cdc254374049b1e59f2ea099a7fc,cluster_0050,1,sequence_0024,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (112).JPG,2025_12_20_IMG (112).JPG,Black spot,test,9e4bd51aee5a16c42212871f6d0235ea4dc4f1c84e645028c86509dda031dcfe,cluster_0051,1,sequence_0024,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (113).JPG,2025_12_20_IMG (113).JPG,Black spot,test,e4eaad41dea685273c0551d858ca859857c829425dd87ae6ceb4f931055b86c8,cluster_0052,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (119).JPG,2025_12_20_IMG (119).JPG,Black spot,test,25ff18baab4fbcb7ae65c0985527ec19d47472844cf63acc8842259616f7c50c,cluster_0053,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (135).JPG,2025_12_20_IMG (135).JPG,Black spot,test,5055c769ff98329634c515aa697cc13baba436fea51864e33bdfd2334b5c0ee7,cluster_0054,1,sequence_0025,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (139).JPG,2025_12_20_IMG (139).JPG,Black spot,test,8c82381b22432171b434dac5d889ab84f1155a668ef4edfb32afe5d208ed812e,cluster_0055,1,sequence_0026,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (141).JPG,2025_12_20_IMG (141).JPG,Black spot,test,ec5de52ec5bfd2dab5ddd9612cf608109aad475ea9fa28be36dd850a23af8bec,cluster_0056,1,sequence_0026,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (143).JPG,2025_12_20_IMG (143).JPG,Black spot,test,925cbbc44c0794ea0d9788cd38b58ea65b3a9dec6766e6c01605073b05f9e17c,cluster_0057,1,sequence_0027,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (146).JPG,2025_12_20_IMG (146).JPG,Black spot,test,64d34fdd0bb698c51ea4619905803082f5e6360f3a90c7e544788f8d7b416e8f,cluster_0058,1,sequence_0028,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (150).JPG,2025_12_20_IMG (150).JPG,Black spot,test,a4f49e5bc8d731c51b93977b534ddfa691e5487f549ba6928894fd75873e118a,cluster_0059,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (156).JPG,2025_12_20_IMG (156).JPG,Black spot,test,bcdc97372d5eb5c341d42a98468fb79b2b9478d0b9b5bf1108e7c8ec0b883125,cluster_0060,1,sequence_0029,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (163).JPG,2025_12_20_IMG (163).JPG,Black spot,test,da689db78e437cfa6f797f2c436f8d6f8c00532008e29b632e9626c83d5a3320,cluster_0061,1,,weak candidate only; singleton
dataset/test/Black spot/2025_12_20_IMG (170).JPG,2025_12_20_IMG (170).JPG,Black spot,test,8bc53293bc889268389eecc77d19d02fc61c0f5c08af248ce3245cc87528d27a,cluster_0062,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (172).JPG,2025_12_20_IMG (172).JPG,Black spot,test,090b951a61d716d4ec7a106688a894f2fceaf0a9b2efba72cc8cc8eb8c951bf0,cluster_0063,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (190).JPG,2025_12_20_IMG (190).JPG,Black spot,test,97a47d09d9ddd67fb1cea2e4740ee89703f67e88ad76aa4091ec468ccdb4623a,cluster_0064,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (199).JPG,2025_12_20_IMG (199).JPG,Black spot,test,813ac2526f4310a452460256630048ba57da1218b948819933627a8d4da529fc,cluster_0065,1,sequence_0030,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (2).JPG,2025_12_20_IMG (2).JPG,Black spot,test,dc7bddc03502ca42e56a1be05841727ae068e2dea0e8c826d1f63ef5a78b4f88,cluster_0066,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (20).JPG,2025_12_20_IMG (20).JPG,Black spot,test,bbd3ff12f78ec64ac86a13a91576620daffee9d68bc6822cd4ca274eec0ffa48,cluster_0067,1,sequence_0031,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (201).JPG,2025_12_20_IMG (201).JPG,Black spot,test,29979d78c6ff53b1a680b0babc4c7d460068f98cedd2666dcfe979a77a4364dd,cluster_0068,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (206).JPG,2025_12_20_IMG (206).JPG,Black spot,test,6a776db6a68a9feaabdf7b1b61e10105c9e55e74c7b1b9c0eabd5bacb859d713,cluster_0069,1,sequence_0032,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (211).JPG,2025_12_20_IMG (211).JPG,Black spot,test,b067382d08d3585e7ac7b32d34b9acbbdb425481aaf8e41cba29517341b06a0d,cluster_0070,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (220).JPG,2025_12_20_IMG (220).JPG,Black spot,test,77613921ffa0e591762e3d006252f4d1d30f7b0affbc37659372ceb5724a7d91,cluster_0071,1,sequence_0033,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (225).JPG,2025_12_20_IMG (225).JPG,Black spot,test,c29b5af5045d2b74a51b6cafa1b033b161cf05441e2202356a815be87882ff1d,cluster_0072,1,sequence_0034,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (227).JPG,2025_12_20_IMG (227).JPG,Black spot,test,ff0c634b9f35b692a28a0aa1355ab6878142c9c16e001c772bb42c5e432674f5,cluster_0073,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (234).JPG,2025_12_20_IMG (234).JPG,Black spot,test,f22857cbbf405a2a05b5adc3e04a4baad217cd3f9004300ee6662a7d7593de70,cluster_0074,1,sequence_0035,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (254).JPG,2025_12_20_IMG (254).JPG,Black spot,test,dfa7393c4f2e55ac229702e7db8a83e46b0b8cd2a1c23a23cdcd38a7c24202cd,cluster_0075,1,sequence_0036,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (256).JPG,2025_12_20_IMG (256).JPG,Black spot,test,44db27c6c71d91fd8f053afa855e621dcd1af2f81b209b94f1dae96d964a8d57,cluster_0076,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (258).JPG,2025_12_20_IMG (258).JPG,Black spot,test,1f3ca9c83e9f1e1d5ae2782422674527ba2f3b3fb74c322fcf3543a70906bd58,cluster_0077,1,sequence_0037,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (264).JPG,2025_12_20_IMG (264).JPG,Black spot,test,bbf6a8bb6f89eeecbdef3371444267a68a23e56258ad35b5db4f55560d1eb222,cluster_0078,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (266).JPG,2025_12_20_IMG (266).JPG,Black spot,test,9fc591c18c0fdd5bde4e14c2d49770df30aa316cbc5d269fc5663036e1736edf,cluster_0079,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (273).JPG,2025_12_20_IMG (273).JPG,Black spot,test,40c0f682999ce7d9d15bde99aa2581080b5ce1e86e02df133251ae81b0e0b5ac,cluster_0080,1,sequence_0038,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (274).JPG,2025_12_20_IMG (274).JPG,Black spot,test,2ced9587e08e17299c8fddd2cff025160ac761339e3ad912dea325567b31eb6f,cluster_0081,1,sequence_0038,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (292).JPG,2025_12_20_IMG (292).JPG,Black spot,test,edd4faf16cfceee6c3e9042adbd16a9f02b8099b951b755a06479bd4728de3bc,cluster_0082,1,,weak candidate only; singleton
dataset/test/Black spot/2025_12_20_IMG (294).JPG,2025_12_20_IMG (294).JPG,Black spot,test,8037e0ff8fb2fc6ee6348072493bfb60e385b902ce83edb182885ed280edc487,cluster_0083,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (305).JPG,2025_12_20_IMG (305).JPG,Black spot,test,2fee34af5900b0fc9ae1596db27998cfbe4bb2805b367990f914bec5a1222496,cluster_0084,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (310).JPG,2025_12_20_IMG (310).JPG,Black spot,test,242b3265c4581781a7a1c2b58a58b5e9fe0b1ea3950cd64d39f9dc6534f638db,cluster_0085,1,sequence_0039,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (34).JPG,2025_12_20_IMG (34).JPG,Black spot,test,f5e5f2573d1a997afccb7637b24aa883d71dbfd4c06ae8cc52d93c72ef22dfd9,cluster_0086,1,,weak candidate only; singleton
dataset/test/Black spot/2025_12_20_IMG (49).JPG,2025_12_20_IMG (49).JPG,Black spot,test,39dd66c569e99849f8c18bf9558497d82cbd5b9db9e0a9881317d3275f136ce4,cluster_0087,1,sequence_0040,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (53).JPG,2025_12_20_IMG (53).JPG,Black spot,test,6c2b0b657f6ba7d70722dd369e47b8817f5633ed7f9be890be3b80b7d6da7fe2,cluster_0088,1,sequence_0041,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (60).JPG,2025_12_20_IMG (60).JPG,Black spot,test,7edc2ffe72efe40d986d0791d305e6ed54e01c0eaf27a5d7d7f9f069b6da9645,cluster_0089,1,,weak candidate only; singleton
dataset/test/Black spot/2025_12_20_IMG (73).JPG,2025_12_20_IMG (73).JPG,Black spot,test,096ff96d0acfbd38eb93b2a69255bdf6e72a9be34f6845f3a76fcc3bb6b21042,cluster_0090,1,,weak candidate only; singleton
dataset/test/Black spot/2025_12_20_IMG (74).JPG,2025_12_20_IMG (74).JPG,Black spot,test,adb9c48403177149c3188b6b46bf13d0039afb23781a00ed6ad9d7128e24caad,cluster_0091,1,,weak candidate only; singleton
dataset/test/Black spot/2025_12_20_IMG (8).JPG,2025_12_20_IMG (8).JPG,Black spot,test,aea9c5120688c9c7390f2695cbef2620f3d83cd292c70d56af1279074773323f,cluster_0092,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (86).JPG,2025_12_20_IMG (86).JPG,Black spot,test,0b515892eac1fdd344c8949aa3935c6fc40446895d8c5ab7842685307505d448,cluster_0093,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (89).JPG,2025_12_20_IMG (89).JPG,Black spot,test,3a351029b06199df2a7f263b34a13c9ead5c9ad3e875d78f5f4bd22b7c7f0210,cluster_0094,1,,weak candidate only; singleton
dataset/test/Black spot/2025_12_20_IMG (9).JPG,2025_12_20_IMG (9).JPG,Black spot,test,7ccd3d04f40059af4e559bf53d21ed5e6d8888964a686d4e8708f994e93d42d3,cluster_0095,1,,uncertain visual relationship requires review
dataset/test/Black spot/2025_12_20_IMG (91).JPG,2025_12_20_IMG (91).JPG,Black spot,test,a0aa36677a1fc0a253a1ab335b4179f3709f91d1cbd6c5206fb59e6f7c67c028,cluster_0096,1,,weak candidate only; singleton
dataset/test/Black spot/2025_12_20_IMG (92).JPG,2025_12_20_IMG (92).JPG,Black spot,test,0896a62956c44ec10ca8bf9e232d974cba4c34333127af9c2efa34d4851057d2,cluster_0097,1,,weak candidate only; singleton
dataset/test/Black spot/2025_12_20_IMG (97).JPG,2025_12_20_IMG (97).JPG,Black spot,test,c1cefdb887e1a0698213c7ffd923a36bc771228bf1c465de2f18f35a082294d5,cluster_0098,1,,weak candidate only; singleton
dataset/test/Citrus canker/2025_12_21_IMG (205).JPG,2025_12_21_IMG (205).JPG,Citrus canker,test,8d3fca4dc22f074d9d11c0533fc3a84c6fa7880d039128ad1e92d238cf92daf7,cluster_0099,1,,uncertain visual relationship requires review
dataset/test/Citrus canker/2025_12_21_IMG (214).JPG,2025_12_21_IMG (214).JPG,Citrus canker,test,5fa75ff03fd557b87e470a5dac33f0764c26ce811bc9793067c32ccf21424e74,cluster_0100,1,,weak candidate only; singleton
dataset/test/Citrus canker/2025_12_21_IMG (215).JPG,2025_12_21_IMG (215).JPG,Citrus canker,test,2ac6b45790ee79aa7ce0530a49e30c9c1d5099f2a3e311f6742272ad5f05abcf,cluster_0101,1,,weak candidate only; singleton
dataset/test/Citrus canker/2025_12_21_IMG (217).JPG,2025_12_21_IMG (217).JPG,Citrus canker,test,559d0b0fc513f0f4690eb7202df8fb03bd75ba6f50cbf8422e09101647f96301,cluster_0102,1,,weak candidate only; singleton
dataset/test/Citrus canker/2025_12_21_IMG (218).JPG,2025_12_21_IMG (218).JPG,Citrus canker,test,51e95f61bef4eb6935b19ea53350cfb1e6746addd26066670f89c2e57c0b6c9d,cluster_0103,1,,weak candidate only; singleton
dataset/test/Citrus canker/2025_12_21_IMG (224).JPG,2025_12_21_IMG (224).JPG,Citrus canker,test,afcf235c4570946624de1d5f1810f3eaf8226b32762ffc7b7f35269c037cafcb,cluster_0104,1,,weak candidate only; singleton
dataset/test/Citrus canker/2025_12_21_IMG (242).JPG,2025_12_21_IMG (242).JPG,Citrus canker,test,e7fa0bf544719aa8a71f185ef13514ecaebbbfdd8068de1ee834d33b8cfecbf6,cluster_0105,1,,weak candidate only; singleton
dataset/test/Citrus canker/2025_12_21_IMG (246).JPG,2025_12_21_IMG (246).JPG,Citrus canker,test,275a945dab9f5bdbe3cf8df0354eaa37bd8d7b7fb9091faed00539d602d0e4b5,cluster_0106,1,,weak candidate only; singleton
dataset/test/Citrus canker/2025_12_21_IMG (249).JPG,2025_12_21_IMG (249).JPG,Citrus canker,test,f5f4091f6bcedef2dcf113af31f9b815d572bad4d0dd0491965bc966d4657008,cluster_0107,1,,weak candidate only; singleton
