filepath_a,filename_a,split_a,class_a,filepath_b,filename_b,split_b,class_b,hamming_distance,similarity_score,review_status
dataset/val/Healthy leaf/2025_11_21_IMG (253).JPG,2025_11_21_IMG (253).JPG,val,Healthy leaf,dataset/test/Healthy leaf/2025_11_21_IMG (254).JPG,2025_11_21_IMG (254).JPG,test,Healthy leaf,0,1.0,near-duplicate candidate requiring manual review
dataset/val/Healthy leaf/2025_11_21_IMG (257).JPG,2025_11_21_IMG (257).JPG,val,Healthy leaf,dataset/test/Healthy leaf/2025_11_21_IMG (256).JPG,2025_11_21_IMG (256).JPG,test,Healthy leaf,0,1.0,near-duplicate candidate requiring manual review
dataset/val/Healthy leaf/2025_11_21_IMG (267).JPG,2025_11_21_IMG (267).JPG,val,Healthy leaf,dataset/test/Healthy leaf/2025_11_21_IMG (266).JPG,2025_11_21_IMG (266).JPG,test,Healthy leaf,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (116).JPG,2025_12_21_IMG (116).JPG,train,Algal leaf spot,dataset/val/Algal leaf spot/2025_12_21_IMG (115).JPG,2025_12_21_IMG (115).JPG,val,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (137).JPG,2025_12_21_IMG (137).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (135).JPG,2025_12_21_IMG (135).JPG,test,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (137).JPG,2025_12_21_IMG (137).JPG,train,Algal leaf spot,dataset/val/Algal leaf spot/2025_12_21_IMG (138).JPG,2025_12_21_IMG (138).JPG,val,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (144).JPG,2025_12_21_IMG (144).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (143).JPG,2025_12_21_IMG (143).JPG,test,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (158).JPG,2025_12_21_IMG (158).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (156).JPG,2025_12_21_IMG (156).JPG,test,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (171).JPG,2025_12_21_IMG (171).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (170).JPG,2025_12_21_IMG (170).JPG,test,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (18).JPG,2025_12_21_IMG (18).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (20).JPG,2025_12_21_IMG (20).JPG,test,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (222).JPG,2025_12_21_IMG (222).JPG,train,Algal leaf spot,dataset/val/Algal leaf spot/2025_12_21_IMG (221).JPG,2025_12_21_IMG (221).JPG,val,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (259).JPG,2025_12_21_IMG (259).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (258).JPG,2025_12_21_IMG (258).JPG,test,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (7).JPG,2025_12_21_IMG (7).JPG,train,Algal leaf spot,dataset/val/Algal leaf spot/2025_12_21_IMG (6).JPG,2025_12_21_IMG (6).JPG,val,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (77).JPG,2025_12_21_IMG (77).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (79).JPG,2025_12_21_IMG (79).JPG,test,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (80).JPG,2025_12_21_IMG (80).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (79).JPG,2025_12_21_IMG (79).JPG,test,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Black spot/2025_12_20_IMG (140).JPG,2025_12_20_IMG (140).JPG,train,Black spot,dataset/test/Black spot/2025_12_20_IMG (139).JPG,2025_12_20_IMG (139).JPG,test,Black spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Black spot/2025_12_20_IMG (144).JPG,2025_12_20_IMG (144).JPG,train,Black spot,dataset/test/Black spot/2025_12_20_IMG (146).JPG,2025_12_20_IMG (146).JPG,test,Black spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Black spot/2025_12_20_IMG (144).JPG,2025_12_20_IMG (144).JPG,train,Black spot,dataset/val/Black spot/2025_12_20_IMG (145).JPG,2025_12_20_IMG (145).JPG,val,Black spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Black spot/2025_12_20_IMG (149).JPG,2025_12_20_IMG (149).JPG,train,Black spot,dataset/test/Black spot/2025_12_20_IMG (150).JPG,2025_12_20_IMG (150).JPG,test,Black spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Black spot/2025_12_20_IMG (152).JPG,2025_12_20_IMG (152).JPG,train,Black spot,dataset/val/Black spot/2025_12_20_IMG (151).JPG,2025_12_20_IMG (151).JPG,val,Black spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Black spot/2025_12_20_IMG (195).JPG,2025_12_20_IMG (195).JPG,train,Black spot,dataset/val/Black spot/2025_12_20_IMG (196).JPG,2025_12_20_IMG (196).JPG,val,Black spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus canker/2025_12_21_IMG (343).JPG,2025_12_21_IMG (343).JPG,train,Citrus canker,dataset/test/Citrus canker/2025_12_21_IMG (344).JPG,2025_12_21_IMG (344).JPG,test,Citrus canker,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus canker/2025_12_21_IMG (375).JPG,2025_12_21_IMG (375).JPG,train,Citrus canker,dataset/test/Citrus canker/2025_12_21_IMG (374).JPG,2025_12_21_IMG (374).JPG,test,Citrus canker,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus canker/2025_12_21_IMG (417).JPG,2025_12_21_IMG (417).JPG,train,Citrus canker,dataset/test/Citrus canker/2025_12_21_IMG (418).JPG,2025_12_21_IMG (418).JPG,test,Citrus canker,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus canker/2025_12_21_IMG (439).JPG,2025_12_21_IMG (439).JPG,train,Citrus canker,dataset/val/Citrus canker/2025_12_21_IMG (438).JPG,2025_12_21_IMG (438).JPG,val,Citrus canker,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus canker/2025_12_21_IMG (530).JPG,2025_12_21_IMG (530).JPG,train,Citrus canker,dataset/val/Citrus canker/2025_12_21_IMG (531).JPG,2025_12_21_IMG (531).JPG,val,Citrus canker,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (193).JPG,2025_12_20_IMG (193).JPG,train,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (303).JPG,2025_12_20_IMG (303).JPG,test,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (194).JPG,2025_12_20_IMG (194).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (196).JPG,2025_12_20_IMG (196).JPG,val,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (195).JPG,2025_12_20_IMG (195).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (196).JPG,2025_12_20_IMG (196).JPG,val,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (206).JPG,2025_12_20_IMG (206).JPG,train,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (208).JPG,2025_12_20_IMG (208).JPG,test,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (214).JPG,2025_12_20_IMG (214).JPG,train,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (215).JPG,2025_12_20_IMG (215).JPG,test,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (233).JPG,2025_12_20_IMG (233).JPG,train,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (234).JPG,2025_12_20_IMG (234).JPG,test,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (233).JPG,2025_12_20_IMG (233).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (232).JPG,2025_12_20_IMG (232).JPG,val,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (255).JPG,2025_12_20_IMG (255).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (253).JPG,2025_12_20_IMG (253).JPG,val,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (270).JPG,2025_12_20_IMG (270).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (271).JPG,2025_12_20_IMG (271).JPG,val,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (284).JPG,2025_12_20_IMG (284).JPG,train,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (283).JPG,2025_12_20_IMG (283).JPG,test,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (291).JPG,2025_12_20_IMG (291).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (292).JPG,2025_12_20_IMG (292).JPG,val,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (342).JPG,2025_12_20_IMG (342).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (343).JPG,2025_12_20_IMG (343).JPG,val,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (344).JPG,2025_12_20_IMG (344).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (343).JPG,2025_12_20_IMG (343).JPG,val,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (354).JPG,2025_12_20_IMG (354).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (355).JPG,2025_12_20_IMG (355).JPG,val,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (372).JPG,2025_12_20_IMG (372).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (370).JPG,2025_12_20_IMG (370).JPG,val,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (376).JPG,2025_12_20_IMG (376).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (375).JPG,2025_12_20_IMG (375).JPG,val,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (379).JPG,2025_12_20_IMG (379).JPG,train,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (380).JPG,2025_12_20_IMG (380).JPG,test,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Greening/2025_12_21_IMG (15).JPG,2025_12_21_IMG (15).JPG,train,Greening,dataset/val/Greening/2025_12_21_IMG (16).JPG,2025_12_21_IMG (16).JPG,val,Greening,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Greening/2025_12_21_IMG (245).JPG,2025_12_21_IMG (245).JPG,train,Greening,dataset/val/Greening/2025_12_21_IMG (244).JPG,2025_12_21_IMG (244).JPG,val,Greening,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Greening/2025_12_21_IMG (250).JPG,2025_12_21_IMG (250).JPG,train,Greening,dataset/val/Greening/2025_12_21_IMG (249).JPG,2025_12_21_IMG (249).JPG,val,Greening,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Greening/2025_12_21_IMG (251).JPG,2025_12_21_IMG (251).JPG,train,Greening,dataset/val/Greening/2025_12_21_IMG (249).JPG,2025_12_21_IMG (249).JPG,val,Greening,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Greening/2025_12_21_IMG (252).JPG,2025_12_21_IMG (252).JPG,train,Greening,dataset/val/Greening/2025_12_21_IMG (249).JPG,2025_12_21_IMG (249).JPG,val,Greening,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Greening/2025_12_21_IMG (253).JPG,2025_12_21_IMG (253).JPG,train,Greening,dataset/test/Greening/2025_12_21_IMG (256).JPG,2025_12_21_IMG (256).JPG,test,Greening,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Greening/2025_12_21_IMG (255).JPG,2025_12_21_IMG (255).JPG,train,Greening,dataset/test/Greening/2025_12_21_IMG (256).JPG,2025_12_21_IMG (256).JPG,test,Greening,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Greening/2025_12_21_IMG (259).JPG,2025_12_21_IMG (259).JPG,train,Greening,dataset/test/Greening/2025_12_21_IMG (258).JPG,2025_12_21_IMG (258).JPG,test,Greening,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Greening/2025_12_21_IMG (260).JPG,2025_12_21_IMG (260).JPG,train,Greening,dataset/test/Greening/2025_12_21_IMG (258).JPG,2025_12_21_IMG (258).JPG,test,Greening,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (108).JPG,2025_11_21_IMG (108).JPG,train,Healthy leaf,dataset/val/Healthy leaf/2025_11_21_IMG (109).JPG,2025_11_21_IMG (109).JPG,val,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (118).JPG,2025_11_21_IMG (118).JPG,train,Healthy leaf,dataset/val/Healthy leaf/2025_11_21_IMG (117).JPG,2025_11_21_IMG (117).JPG,val,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (181).JPG,2025_11_21_IMG (181).JPG,train,Healthy leaf,dataset/val/Healthy leaf/2025_11_21_IMG (180).JPG,2025_11_21_IMG (180).JPG,val,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (252).JPG,2025_11_21_IMG (252).JPG,train,Healthy leaf,dataset/test/Healthy leaf/2025_11_21_IMG (254).JPG,2025_11_21_IMG (254).JPG,test,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (252).JPG,2025_11_21_IMG (252).JPG,train,Healthy leaf,dataset/val/Healthy leaf/2025_11_21_IMG (253).JPG,2025_11_21_IMG (253).JPG,val,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (255).JPG,2025_11_21_IMG (255).JPG,train,Healthy leaf,dataset/test/Healthy leaf/2025_11_21_IMG (254).JPG,2025_11_21_IMG (254).JPG,test,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (255).JPG,2025_11_21_IMG (255).JPG,train,Healthy leaf,dataset/val/Healthy leaf/2025_11_21_IMG (253).JPG,2025_11_21_IMG (253).JPG,val,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (263).JPG,2025_11_21_IMG (263).JPG,train,Healthy leaf,dataset/test/Healthy leaf/2025_11_21_IMG (264).JPG,2025_11_21_IMG (264).JPG,test,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (265).JPG,2025_11_21_IMG (265).JPG,train,Healthy leaf,dataset/test/Healthy leaf/2025_11_21_IMG (264).JPG,2025_11_21_IMG (264).JPG,test,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (295).JPG,2025_11_21_IMG (295).JPG,train,Healthy leaf,dataset/val/Healthy leaf/2025_11_21_IMG (296).JPG,2025_11_21_IMG (296).JPG,val,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (76).JPG,2025_11_21_IMG (76).JPG,train,Healthy leaf,dataset/test/Healthy leaf/2025_11_21_IMG (79).JPG,2025_11_21_IMG (79).JPG,test,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
dataset/val/Algal leaf spot/2025_12_21_IMG (136).JPG,2025_12_21_IMG (136).JPG,val,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (135).JPG,2025_12_21_IMG (135).JPG,test,Algal leaf spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/val/Black spot/2025_12_20_IMG (111).JPG,2025_12_20_IMG (111).JPG,val,Black spot,dataset/test/Black spot/2025_12_20_IMG (112).JPG,2025_12_20_IMG (112).JPG,test,Black spot,1,0.984375,near-duplicate candidate requiring manual review
dataset/val/Citrus canker/2025_12_21_IMG (350).JPG,2025_12_21_IMG (350).JPG,val,Citrus canker,dataset/test/Citrus canker/2025_12_21_IMG (352).JPG,2025_12_21_IMG (352).JPG,test,Citrus canker,1,0.984375,near-duplicate candidate requiring manual review
dataset/val/Citrus pest/2025_12_20_IMG (321).JPG,2025_12_20_IMG (321).JPG,val,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (320).JPG,2025_12_20_IMG (320).JPG,test,Citrus pest,1,0.984375,near-duplicate candidate requiring manual review
dataset/val/Healthy leaf/2025_11_21_IMG (257).JPG,2025_11_21_IMG (257).JPG,val,Healthy leaf,dataset/test/Healthy leaf/2025_11_21_IMG (258).JPG,2025_11_21_IMG (258).JPG,test,Healthy leaf,1,0.984375,near-duplicate candidate requiring manual review
