pair_id,filepath_a,filepath_b,class_a,class_b,split_a,split_b,similarity_category,review_priority,human_decision,review_notes
pair_d6b8c2420eb835bd0787,dataset/test/Algal leaf spot/2025_12_21_IMG (294).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (295).JPG,Algal leaf spot,Algal leaf spot,test,train,C,384.750784,,
pair_f17afcc37cc84167dcd4,dataset/test/Healthy leaf/2025_11_21_IMG (79).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (77).JPG,Healthy leaf,Healthy leaf,test,train,C,384.748984,,
pair_a8c3b196a38b6938c3f9,dataset/test/Citrus pest/2025_12_20_IMG (387).JPG,dataset/train/Citrus pest/2025_12_20_IMG (389).JPG,Citrus pest,Citrus pest,test,train,C,384.725842,,
pair_64a05086db4c45874da9,dataset/test/Healthy leaf/2025_11_21_IMG (256).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (255).JPG,Healthy leaf,Healthy leaf,test,train,C,384.681207,,
pair_1010b3f96b2f3eff2c82,dataset/test/Citrus pest/2025_12_20_IMG (368).JPG,dataset/train/Citrus pest/2025_12_20_IMG (369).JPG,Citrus pest,Citrus pest,test,train,C,384.646856,,
pair_446df81a1896ca53d2fc,dataset/test/Black spot/2025_12_20_IMG (49).JPG,dataset/train/Black spot/2025_12_20_IMG (48).JPG,Black spot,Black spot,test,train,C,384.596066,,
pair_59a61e8aef26580a5b63,dataset/test/Algal leaf spot/2025_12_21_IMG (227).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (226).JPG,Algal leaf spot,Algal leaf spot,test,train,C,384.57756,,
pair_0bb3431f26ed52bfa7f7,dataset/test/Citrus canker/2025_12_21_IMG (476).JPG,dataset/train/Citrus canker/2025_12_21_IMG (477).JPG,Citrus canker,Citrus canker,test,train,C,384.577225,,
pair_40df3c5b7a5bb25000b6,dataset/test/Algal leaf spot/2025_12_21_IMG (143).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (144).JPG,Algal leaf spot,Algal leaf spot,test,train,C,384.540084,,
pair_3798a6dc97fda5ec83d1,dataset/test/Greening/2025_12_21_IMG (20).JPG,dataset/train/Greening/2025_12_21_IMG (19).JPG,Greening,Greening,test,train,C,384.534217,,
pair_90ba277ad92c2779cee0,dataset/test/Black spot/2025_12_20_IMG (199).JPG,dataset/train/Black spot/2025_12_20_IMG (198).JPG,Black spot,Black spot,test,train,C,384.427417,,
pair_6baebf7ac36835e03e89,dataset/test/Citrus pest/2025_12_20_IMG (301).JPG,dataset/train/Citrus pest/2025_12_20_IMG (300).JPG,Citrus pest,Citrus pest,test,train,C,384.419087,,
pair_6b008056c4bfa99ead67,dataset/test/Healthy leaf/2025_11_21_IMG (294).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (297).JPG,Healthy leaf,Healthy leaf,test,train,C,384.319958,,
pair_208dde1622cbf8a3d30f,dataset/test/Algal leaf spot/2025_12_21_IMG (150).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (149).JPG,Algal leaf spot,Algal leaf spot,test,train,C,384.227078,,
pair_251bf11cf71695e7318c,dataset/test/Healthy leaf/2025_11_21_IMG (264).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (262).JPG,Healthy leaf,Healthy leaf,test,train,C,384.198471,,
pair_f6548f83156a3b7cf662,dataset/test/Black spot/2025_12_20_IMG (20).JPG,dataset/train/Black spot/2025_12_20_IMG (21).JPG,Black spot,Black spot,test,train,C,384.070349,,
pair_47e52c2bf62d60107ecf,dataset/test/Healthy leaf/2025_11_21_IMG (273).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (272).JPG,Healthy leaf,Healthy leaf,test,train,C,384.049334,,
pair_41a3946c5867ed8d6926,dataset/test/Citrus canker/2025_12_21_IMG (431).JPG,dataset/train/Citrus canker/2025_12_21_IMG (432).JPG,Citrus canker,Citrus canker,test,train,C,384.025925,,
pair_e5c1a9af334b9c0fe74a,dataset/test/Black spot/2025_12_20_IMG (101).JPG,dataset/train/Black spot/2025_12_20_IMG (102).JPG,Black spot,Black spot,test,train,C,384.003782,,
pair_1d9678708e963a949452,dataset/test/Black spot/2025_12_20_IMG (156).JPG,dataset/train/Black spot/2025_12_20_IMG (157).JPG,Black spot,Black spot,test,train,C,383.954981,,
pair_f63bc63e2cade7ea024c,dataset/test/Algal leaf spot/2025_12_21_IMG (119).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (120).JPG,Algal leaf spot,Algal leaf spot,test,train,C,383.94845,,
pair_c4de27c1e715b428d3d4,dataset/test/Healthy leaf/2025_11_21_IMG (264).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (265).JPG,Healthy leaf,Healthy leaf,test,train,C,383.769174,,
pair_813624fbea349e30e027,dataset/test/Algal leaf spot/2025_12_21_IMG (78).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (77).JPG,Algal leaf spot,Algal leaf spot,test,train,C,383.750292,,
pair_565fc11e74d66d93cd28,dataset/test/Healthy leaf/2025_11_21_IMG (292).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (289).JPG,Healthy leaf,Healthy leaf,test,train,B,383.744792,,
pair_5f6816424d533d18a504,dataset/test/Algal leaf spot/2025_12_21_IMG (2).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (3).JPG,Algal leaf spot,Algal leaf spot,test,train,C,383.717207,,
pair_423d07bc66cea86f134d,dataset/test/Greening/2025_12_21_IMG (274).JPG,dataset/train/Greening/2025_12_21_IMG (275).JPG,Greening,Greening,test,train,C,383.690379,,
pair_b83f689946bd954ea55e,dataset/test/Citrus pest/2025_12_20_IMG (303).JPG,dataset/train/Citrus pest/2025_12_20_IMG (193).JPG,Citrus pest,Citrus pest,test,train,C,383.523476,,
pair_0708f46097e0a4e00064,dataset/test/Black spot/2025_12_20_IMG (206).JPG,dataset/train/Black spot/2025_12_20_IMG (207).JPG,Black spot,Black spot,test,train,C,383.485924,,
pair_8ac9dafa2ae56809cde3,dataset/test/Healthy leaf/2025_11_21_IMG (11).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (9).JPG,Healthy leaf,Healthy leaf,test,train,C,383.455825,,
pair_086ef21fdbc319dcca72,dataset/test/Citrus canker/2025_12_21_IMG (387).JPG,dataset/train/Citrus canker/2025_12_21_IMG (386).JPG,Citrus canker,Citrus canker,test,train,C,383.418781,,
pair_cc2d0d5abcbac7da067c,dataset/test/Greening/2025_12_21_IMG (254).JPG,dataset/train/Greening/2025_12_21_IMG (253).JPG,Greening,Greening,test,train,C,383.132685,,
pair_fcd6fa4a1e9eb8b38d9b,dataset/test/Healthy leaf/2025_11_21_IMG (35).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (34).JPG,Healthy leaf,Healthy leaf,test,train,C,383.12543,,
pair_0eb01b45ad0524c383ef,dataset/test/Healthy leaf/2025_11_21_IMG (170).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (171).JPG,Healthy leaf,Healthy leaf,test,train,C,383.116293,,
pair_dd75ea769f7657ae527d,dataset/test/Citrus pest/2025_12_20_IMG (243).JPG,dataset/train/Citrus pest/2025_12_20_IMG (244).JPG,Citrus pest,Citrus pest,test,train,C,383.07431,,
pair_32e021ed7c3cd21d49da,dataset/test/Healthy leaf/2025_11_21_IMG (292).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (288).JPG,Healthy leaf,Healthy leaf,test,train,C,383.047335,,
pair_89734927b171960e7ebb,dataset/test/Greening/2025_12_21_IMG (258).JPG,dataset/train/Greening/2025_12_21_IMG (260).JPG,Greening,Greening,test,train,C,383.044793,,
pair_c1b5ae2a9428fe6b74c4,dataset/test/Citrus canker/2025_12_21_IMG (344).JPG,dataset/train/Citrus canker/2025_12_21_IMG (341).JPG,Citrus canker,Citrus canker,test,train,C,382.931851,,
pair_220f095f56c9925b4f99,dataset/test/Citrus pest/2025_12_20_IMG (399).JPG,dataset/train/Citrus pest/2025_12_20_IMG (397).JPG,Citrus pest,Citrus pest,test,train,C,382.840912,,
pair_74830b178e28c4e35654,dataset/test/Algal leaf spot/2025_12_21_IMG (310).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (1).JPG,Algal leaf spot,Algal leaf spot,test,train,C,382.762407,,
pair_2b3fcbe117bd8f2ed8ce,dataset/test/Algal leaf spot/2025_12_21_IMG (79).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (77).JPG,Algal leaf spot,Algal leaf spot,test,train,C,382.657472,,
pair_6088b728ef7e37901503,dataset/test/Black spot/2025_12_20_IMG (273).JPG,dataset/train/Black spot/2025_12_20_IMG (272).JPG,Black spot,Black spot,test,train,C,382.649526,,
pair_a2dcbf8d62d44f06a9eb,dataset/test/Algal leaf spot/2025_12_21_IMG (206).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (204).JPG,Algal leaf spot,Algal leaf spot,test,train,C,382.536782,,
pair_35c24e63ac960ea79e46,dataset/test/Healthy leaf/2025_11_21_IMG (101).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (102).JPG,Healthy leaf,Healthy leaf,test,train,C,382.441672,,
pair_ecdc61763fd15c5198f6,dataset/test/Greening/2025_12_21_IMG (38).JPG,dataset/train/Greening/2025_12_21_IMG (40).JPG,Greening,Greening,test,train,C,382.296068,,
pair_9eae7ee922677fbd9567,dataset/test/Black spot/2025_12_20_IMG (234).JPG,dataset/train/Black spot/2025_12_20_IMG (233).JPG,Black spot,Black spot,test,train,C,382.255263,,
pair_e403e594f1cf235452de,dataset/test/Citrus pest/2025_12_20_IMG (380).JPG,dataset/train/Citrus pest/2025_12_20_IMG (378).JPG,Citrus pest,Citrus pest,test,train,C,382.185439,,
pair_350b3ee4cca4eb134a91,dataset/test/Greening/2025_12_21_IMG (254).JPG,dataset/train/Greening/2025_12_21_IMG (255).JPG,Greening,Greening,test,train,C,382.146911,,
pair_dd6a75564b5ea2c18f2b,dataset/test/Citrus pest/2025_12_20_IMG (234).JPG,dataset/train/Citrus pest/2025_12_20_IMG (235).JPG,Citrus pest,Citrus pest,test,train,C,382.140422,,
pair_fe6a4ee0ffd8cbaebe3e,dataset/test/Healthy leaf/2025_11_21_IMG (256).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (252).JPG,Healthy leaf,Healthy leaf,test,train,C,382.096027,,
pair_2ae70499319d0b7434a3,dataset/test/Greening/2025_12_21_IMG (2).JPG,dataset/train/Greening/2025_12_21_IMG (3).JPG,Greening,Greening,test,train,C,381.861287,,
pair_1a9f5f1373a04dd411e3,dataset/test/Algal leaf spot/2025_12_21_IMG (225).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (226).JPG,Algal leaf spot,Algal leaf spot,test,train,C,381.760088,,
pair_aac2c98efa484a778117,dataset/test/Healthy leaf/2025_11_21_IMG (258).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (255).JPG,Healthy leaf,Healthy leaf,test,train,C,381.704645,,
pair_e6b49f15d3138a154f49,dataset/test/Algal leaf spot/2025_12_21_IMG (256).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (255).JPG,Algal leaf spot,Algal leaf spot,test,train,C,381.58601,,
pair_f660b63288c06a62f230,dataset/test/Greening/2025_12_21_IMG (254).JPG,dataset/train/Greening/2025_12_21_IMG (257).JPG,Greening,Greening,test,train,C,381.574101,,
pair_a198644db4bcfa8e0d08,dataset/test/Greening/2025_12_21_IMG (256).JPG,dataset/train/Greening/2025_12_21_IMG (253).JPG,Greening,Greening,test,train,C,381.510385,,
pair_44e8c8b98f939ffe1ecb,dataset/test/Greening/2025_12_21_IMG (38).JPG,dataset/train/Greening/2025_12_21_IMG (39).JPG,Greening,Greening,test,train,C,381.036091,,
pair_c473dde32fa26a293ac5,dataset/test/Healthy leaf/2025_11_21_IMG (274).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (270).JPG,Healthy leaf,Healthy leaf,test,train,C,380.769626,,
pair_f96b663af5b8e4865b3a,dataset/test/Healthy leaf/2025_11_21_IMG (258).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (252).JPG,Healthy leaf,Healthy leaf,test,train,C,380.76347,,
pair_e5520d4e23156a4bf4cd,dataset/test/Black spot/2025_12_20_IMG (143).JPG,dataset/train/Black spot/2025_12_20_IMG (142).JPG,Black spot,Black spot,test,train,C,380.715406,,
pair_59c0ff4add7248585d89,dataset/test/Algal leaf spot/2025_12_21_IMG (294).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (297).JPG,Algal leaf spot,Algal leaf spot,test,train,C,380.702642,,
pair_c070600ea31d9680f25e,dataset/test/Healthy leaf/2025_11_21_IMG (163).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (165).JPG,Healthy leaf,Healthy leaf,test,train,C,380.587925,,
pair_54fd766e5e1a50d2a9ce,dataset/test/Citrus pest/2025_12_20_IMG (236).JPG,dataset/train/Citrus pest/2025_12_20_IMG (237).JPG,Citrus pest,Citrus pest,test,train,C,380.48551,,
pair_966fa549b6ea099d4cca,dataset/test/Algal leaf spot/2025_12_21_IMG (163).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (26).JPG,Algal leaf spot,Algal leaf spot,test,train,C,379.857421,,
pair_a05fb57477e9f904a4c1,dataset/test/Citrus canker/2025_12_21_IMG (489).JPG,dataset/train/Citrus canker/2025_12_21_IMG (490).JPG,Citrus canker,Citrus canker,test,train,C,379.655336,,
pair_c571d53cdef983522fd6,dataset/test/Citrus canker/2025_12_21_IMG (489).JPG,dataset/train/Citrus canker/2025_12_21_IMG (488).JPG,Citrus canker,Citrus canker,test,train,C,378.710417,,
pair_f7ae4b86069686342744,dataset/test/Greening/2025_12_21_IMG (256).JPG,dataset/train/Greening/2025_12_21_IMG (259).JPG,Greening,Greening,test,train,C,378.237683,,
pair_ed1864ae2a0dfe4f2cc3,dataset/test/Greening/2025_12_21_IMG (254).JPG,dataset/train/Greening/2025_12_21_IMG (259).JPG,Greening,Greening,test,train,C,377.213193,,
pair_c621b062bac97245fc32,dataset/test/Citrus pest/2025_12_20_IMG (404).JPG,dataset/train/Citrus pest/2025_12_20_IMG (402).JPG,Citrus pest,Citrus pest,test,train,D,375.988568,SAME_SOURCE,"Same folded leaf structure, damage and veins; same source."
pair_85e97433586a4883ba88,dataset/test/Algal leaf spot/2025_12_21_IMG (199).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (198).JPG,Algal leaf spot,Algal leaf spot,test,train,D,375.930414,SAME_SOURCE,"Same leaf outline, veins and lesion positions; same source."
pair_d05a3e6695bc1e44e255,dataset/test/Citrus pest/2025_12_20_IMG (394).JPG,dataset/train/Citrus pest/2025_12_20_IMG (393).JPG,Citrus pest,Citrus pest,test,train,D,375.661716,,
pair_6d649dd24e2619d02759,dataset/test/Citrus pest/2025_12_20_IMG (388).JPG,dataset/train/Citrus pest/2025_12_20_IMG (389).JPG,Citrus pest,Citrus pest,test,train,D,375.612504,,
pair_ab2ced0040a47d90549e,dataset/test/Citrus canker/2025_12_21_IMG (418).JPG,dataset/train/Citrus canker/2025_12_21_IMG (417).JPG,Citrus canker,Citrus canker,test,train,D,375.601433,,
