filepath_a,filepath_b,source_group_id,group_reason
dataset/train/Algal leaf spot/2025_12_21_IMG (46).JPG,dataset/val/Algal leaf spot/2025_12_21_IMG (47).JPG,source_2af0a225bcb55624ec0764cd302d50c5fa42fbeac2fe9084066b66ee272f56fb,human_SAME_SOURCE
dataset/train/Black spot/2025_12_20_IMG (114).JPG,dataset/train/Black spot/2025_12_20_IMG (115).JPG,source_122b82da8d24cfb6a4f609daf1744a0ac3efcee08debb4e1b64a1cad283bde43,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest
dataset/train/Black spot/2025_12_20_IMG (180).JPG,dataset/train/Black spot/2025_12_20_IMG (181).JPG,source_0d7766e6ddc2302dc99a5c45fb764819b4935d1e2f115868fd9b2282c27f468f,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest
dataset/train/Black spot/2025_12_20_IMG (56).JPG,dataset/train/Black spot/2025_12_20_IMG (57).JPG,source_fed9310e600abe5496d8f63c4a12b873418f262aaee50a82b2778d1088819c07,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest
dataset/train/Citrus canker/2025_12_21_IMG (409).JPG,dataset/train/Citrus canker/2025_12_21_IMG (410).JPG,source_b9a9bd5b64ad9d2c72b0316d8aea9a6db0f65d3b62f1af4c9384d044f281ceb4,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest
dataset/train/Citrus canker/2025_12_21_IMG (455).JPG,dataset/train/Citrus canker/2025_12_21_IMG (456).JPG,source_fa2816d6d3bbe46232d7d309910e8f41bc720e3dd42ca4d918f8a42f6cc5eb4b,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest
dataset/train/Citrus pest/2025_12_20_IMG (291).JPG,dataset/val/Citrus pest/2025_12_20_IMG (292).JPG,source_9b7bbcd20cefb6da8b81577b21e5b5710515f6a32f0e1e361dfb1fbb1158fa68,human_SAME_SOURCE
dataset/train/Greening/2025_12_21_IMG (250).JPG,dataset/train/Greening/2025_12_21_IMG (251).JPG,source_2de6024dfe8f505595ba90052cc8d8db6c178046dfd09106aa26a9597e2f5054,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest
dataset/train/Healthy leaf/2025_11_21_IMG (185).JPG,dataset/val/Healthy leaf/2025_11_21_IMG (184).JPG,source_211e71bf37f79b0ec2248cd25c3652355ba278d9317ba95d495ceee4a3cad84d,AB_pair_evidence;autofilled_SAME_SOURCE;existing_AB_cluster;existing_AB_manifest;refined_capture_strong_link;strict_multimetric
dataset/train/Healthy leaf/2025_11_21_IMG (281).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (282).JPG,source_1dd62cdf889b9ea10e5222639a262c5be2f1d8b959ab39dce3bd7158cf3d401f,AB_pair_evidence;exact_sha256;existing_AB_cluster;existing_AB_manifest
dataset/train/Healthy leaf/2025_11_21_IMG (289).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (290).JPG,source_5f186c4100725e991342a71eb2afd0fbdb17931d24dc144e1c35e47231df156e,AB_pair_evidence;refined_capture_strong_link
dataset/train/Healthy leaf/2025_11_21_IMG (290).JPG,dataset/val/Healthy leaf/2025_11_21_IMG (291).JPG,source_5f186c4100725e991342a71eb2afd0fbdb17931d24dc144e1c35e47231df156e,AB_pair_evidence;refined_capture_strong_link
dataset/val/Citrus canker/2025_12_21_IMG (519).JPG,dataset/val/Citrus canker/2025_12_21_IMG (520).JPG,source_19618f2167adcaf8099fd46a02becaea7274143345d7ca59bca56961e186736e,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest;refined_capture_strong_link
dataset/val/Healthy leaf/2025_11_21_IMG (74).JPG,dataset/val/Healthy leaf/2025_11_21_IMG (75).JPG,source_14ad5d7483c5b2cef649e624e0111ba8e3cca819ca7bd9bdc5c0b7598c224f21,AB_pair_evidence;exact_sha256;existing_AB_cluster;existing_AB_manifest
