source_group_id,class,group_size,new_split,group_reason
source_020932fb4b18f09fbcceedeb4952792e9ad6bd8de43c9dec889b3890f3d559b9,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_021355ef6c1906ab7b9868246f9a67d75dcfe4241cc6df0f50feb185d1e4c858,Healthy leaf,1,train,singleton_no_enforced_relationship
source_022176f2c9ebb4227afd138c8b479559681e252f42ffd977a8c2fa8249fc3473,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_024c0cfd58a46a86884834ff6c2aeae5aadc805090016db3fe765b48f71db04b,Citrus pest,1,train,singleton_no_enforced_relationship
source_025ad2193764ac40e33b52c92c563927755c9f09591048f24ce7890b7e594c99,Healthy leaf,1,test,singleton_no_enforced_relationship
source_025db1660ddbe1f93d7b54df0d76c7f63eec36e471a193282589b05ff865f62c,Citrus pest,1,test,singleton_no_enforced_relationship
source_029aefa3bc09577b2ea624f80e3272c4964b08521a98663daf94666fecdb126d,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_02a7ed9b6f3d895d050ae1a08932286aa2d7010c4d10abe6965a20546eb24e3e,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_02ae75b26bccd119f60f41a85d8e8200e35666319ebacbd00be52c85b897c9d1,Citrus canker,1,train,singleton_no_enforced_relationship
source_02c39e4401ca3fab78d5b7bd6870fa7fe0edb022bc3f611960474dd24e0cfb15,Healthy leaf,1,train,singleton_no_enforced_relationship
source_02d89b788ba19e7d381de9b78939827caffc505739c9a6dd3104d37040666ba6,Citrus canker,1,train,singleton_no_enforced_relationship
source_02d9f63741a8f1c1eece99cf6f2aa9394fc5f5a94ba0562d18c3c3fcb4a497e3,Healthy leaf,1,val,singleton_no_enforced_relationship
source_0308e79b2a813cca6a147356cba76dbbc644c55aaa0b04894ebf012683d069c5,Black spot,1,train,singleton_no_enforced_relationship
source_0312773a7bc1e311ae8bbe74046056af8866789ddfc2ade8ac594bb9542d3194,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_0319a0776ab0438c413a078e7dd6f350c900bb894ab19678bb99d72b6101bce7,Citrus pest,1,val,singleton_no_enforced_relationship
source_033bb3bbc106a4fb01a6b6096e0463d0e5e0dcd3e0a7abc491f3344ecd8a3738,Black spot,1,train,singleton_no_enforced_relationship
source_034cb19c726b2364428003baa8310c52ac67b7b5b75a8fbd910a51dc81e5d316,Citrus canker,1,train,singleton_no_enforced_relationship
source_035f2b2a7363d10b850561741e38cde4fb3e9ef8d8a5d099ff4906223c48aa44,Healthy leaf,1,val,singleton_no_enforced_relationship
source_0383ca15b42a1a77002a16888e731105c039faddbec996dd9a36a78142a0f3a1,Greening,1,val,singleton_no_enforced_relationship
source_03a1cc64569fea526da7eefde484a7175b0b287a49c829c80af3e842890a4831,Citrus pest,1,val,singleton_no_enforced_relationship
source_03b8ce317de5f9cc25378d46110e31265431becce1e63e5fd1dbbc809a0aefcb,Citrus pest,1,train,singleton_no_enforced_relationship
source_03e5a9c63e88c4e59a14c582d5a50e484d59db49bf754af5c4f78b7547cee795,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_042a0af39cad5461568736c056de037d764acb1eeb9ce9eb042d95c4194b75bc,Citrus canker,1,val,singleton_no_enforced_relationship
source_044d1f47e8a15dab726db57549fc2bee90823d4e191a791dc902fed1b420f6c4,Citrus pest,1,val,singleton_no_enforced_relationship
source_045f30cde625008270328a333641900610b155089a9f0fca264b00043f7de914,Black spot,1,train,singleton_no_enforced_relationship
source_045fc5a34a8fc1bf3b6bbb59b4264fee3e1e26389a8e245698ea7d064aafb3f3,Citrus pest,1,val,singleton_no_enforced_relationship
source_047183cb65f54da60d15d479661ad47577623c31136da69a4fdf348a1e883fea,Healthy leaf,1,test,singleton_no_enforced_relationship
source_04c60f86956e085ef9cd3bf5d5ad501bb2af79b9b45e017ac625546426e66a81,Healthy leaf,1,train,singleton_no_enforced_relationship
source_04c66449c5e02c0792668d676218caad69d14502c30769df248bdfbc73f715f8,Healthy leaf,1,val,singleton_no_enforced_relationship
source_04db462d6c4179ff4aade9782d35eea38b5c4b99a60bec434ecc1403d4666e45,Citrus pest,1,train,singleton_no_enforced_relationship
source_052ab2b7d3805b030a3cc0e14663bc16e0bb97d9c6288b04f3e226e9f8101d18,Citrus pest,1,test,singleton_no_enforced_relationship
source_0579b6ffc820cbe3d4d75ae221e0ffcdce6e67533ee30e57e644081c51f870db,Black spot,1,train,singleton_no_enforced_relationship
source_059cf911dacc39bfba4887f4978227fb6052bd45ba87d052fe1142a486aac613,Greening,1,test,singleton_no_enforced_relationship
source_05c4605c38aac821334f4d66e9685d9d9add03fe24f7a51f96854d2cf3bf119f,Greening,1,val,singleton_no_enforced_relationship
source_05cf1514f582206d13b072dcd294327ce6a7bc2185638801e2c61c0da3d8819b,Greening,1,train,singleton_no_enforced_relationship
source_05d1c9563d2ad8b92bbba8f2e46c30d4b74efe486c8ec196f02e2063dea95740,Greening,1,train,singleton_no_enforced_relationship
source_05ddae35540f6ff0e13e5db901cfb39140fd29967cbd7832fe208cb5bee29375,Citrus pest,1,train,singleton_no_enforced_relationship
source_060e4d256f6b52199eaed48c11bf472de0a5668a7b72a43beb1fa47f0e09a8c7,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_0632bb0bbf3544411c23c9c3378c1f6e16f8b50de14239d0440f899dc1393834,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_067c8a3925dab71254ed3479f49a22c5f43c5d1fc5ef188330f4b1d68b87efc3,Black spot,1,test,singleton_no_enforced_relationship
source_068baf97841b766d07e905d80ba9bd45e72097e2e844b1d4b75e915d2a5254ec,Algal leaf spot,1,test,singleton_no_enforced_relationship
source_06e1763be364b85be6773be20f6c94ea790389639a55bf3dc133823df12909fc,Citrus pest,1,train,singleton_no_enforced_relationship
source_06e83fb3f66bf0610d5ac674f7353e0449cdb3ab39dee876dd6d998f5b6e227f,Citrus canker,1,train,singleton_no_enforced_relationship
source_06ed44a0375217b1a31765f6068f0c047f18814b52072c0b044284b6d40178d4,Citrus pest,1,train,singleton_no_enforced_relationship
source_06fe18e685706175eef93f7f193037abb9232aa94470260d873d2fbd5f85426d,Greening,1,train,singleton_no_enforced_relationship
source_074cf6c16f50f2c334491fb759bd2911f6954be5052e4526c323664444460b48,Citrus pest,1,train,singleton_no_enforced_relationship
source_0759b6875479674e252e4a9f4dd673a9d51ebc53a7bc5f8505655b80edb5010e,Healthy leaf,1,test,singleton_no_enforced_relationship
source_0780de0302af97a78e1ef003512f14bdee3c6334be954f82eef65c54ed239ec9,Healthy leaf,1,train,singleton_no_enforced_relationship
source_07f1eb9fb98c1e0fcec94686eb7f6cd851552b402639f64b35c944cda9fabb01,Citrus canker,1,train,singleton_no_enforced_relationship
source_081c89316f9260e94dd3b8d1ef4cd99f4256c0e2b357f962ada980b247837e78,Greening,1,train,singleton_no_enforced_relationship
source_0833ba3e866310c25ab26b0ddf8eb38b140a3085e48137ef51e36029838bc513,Citrus pest,1,val,singleton_no_enforced_relationship
source_084b7cec7b1e70933f4af0aee0362e7e792f25d58c2753e740796b705ced80b1,Greening,1,train,singleton_no_enforced_relationship
source_086fe28be06acfe17c1a1fc7b0b24a312954bc02ffc7b50c39265d00245623f9,Citrus pest,1,train,singleton_no_enforced_relationship
source_0897813664e3fd4eff98af72bedf8d83e92bdfa8c32ef3c5f26fb5dcddd9927e,Greening,1,val,singleton_no_enforced_relationship
source_08a164d6e3cb6f3b74fbcbcfdb812846763cfc642fbab03cf8260dd345f3c7a9,Citrus pest,1,test,singleton_no_enforced_relationship
source_08c8abe01dc6730226497e9c38d43dc7b0cf85a8f3cdbe57ec5cbd9e93b4eba0,Citrus pest,1,train,singleton_no_enforced_relationship
source_08dd273820987f0418530464c562515309f6ce2db467c6f6e71c02dda25001bc,Healthy leaf,1,train,singleton_no_enforced_relationship
source_09198be8e67fe0b3eef3eccc94ce23abfa2578069e7d405abba58fcd78e1d53e,Black spot,1,train,singleton_no_enforced_relationship
source_092946a21007ba885d6a62a99b5ee9f0575ec646e57816f7365ffd8f73bd44f9,Citrus pest,1,train,singleton_no_enforced_relationship
source_096faf53d540ff2d39fb2f9488e4e281aabbe2c45b44dffcc40cf9fbee75e8c2,Citrus canker,1,val,singleton_no_enforced_relationship
source_097e70ec66d1f1d415158c9810b56769ff5379553534430f744faaa5e47b7f6c,Healthy leaf,1,val,singleton_no_enforced_relationship
source_0986becc75e251d97d26e0bab7d23e9ffd60043ee49fdde998e7121f3d71a49c,Black spot,1,train,singleton_no_enforced_relationship
source_0993e66a94efbde197abbe160f9d7135443e26ee4df03675d8d019445cdae273,Greening,1,train,singleton_no_enforced_relationship
source_09c6f3b506f1da9eebcd680aad1ce2aa02452c878caba90e21fb3082f1d3ddda,Citrus pest,1,train,singleton_no_enforced_relationship
source_09d772150c85faf89c6885e69c8e29eaa58288d7ea8a7c9845f443b1c8524710,Greening,1,train,singleton_no_enforced_relationship
source_09e4c5bbf2166bd2d25ca37714e044f78abb1ac6ba40ba9c9d1f813d03bf8adc,Greening,1,train,singleton_no_enforced_relationship
source_0a063d016768f5fedc19b7966f5baf738b0fa589674a4723d6817e054aff7159,Black spot,1,train,singleton_no_enforced_relationship
source_0a37bb6634e172adb9ba9f85e43ad242786498119aaa550ddd9c2f8464746e23,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_0a5926aeaaec0d1c092583c6e9f1fd46f8232f5b5cf3a71236f39867a3c9d12b,Greening,1,test,singleton_no_enforced_relationship
source_0a85277ef285ba36975dcf72e197cfaf712e42b3e80564b735a9ddf42d1e38a9,Citrus pest,1,train,singleton_no_enforced_relationship
source_0aa6b08d155cc17b455f87403f15461bff5ea6965eb40a04ea2c705fc206506c,Black spot,1,train,singleton_no_enforced_relationship
source_0ae29de353a7cfbcc4602bb5685ad79406e8bd5a20a49958d2adf5915bea0cdc,Healthy leaf,1,train,singleton_no_enforced_relationship
source_0af33f9a81f4b2065ca43a07c8fca76855046037e5574bf7f7085aac034b370a,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_0af38cb20a39072940d374487a55e2a9720704e1efb4489b2fd7e26154860504,Greening,1,train,singleton_no_enforced_relationship
source_0b1e3dc4c59835a6c6a64d33916ac5816d0c2442061c1a31491408c9a8cda7c0,Healthy leaf,1,train,singleton_no_enforced_relationship
source_0b317fb8ea9a32d988e0d8040e7f96fad7a01e8484db6eca3c75210fadb46669,Black spot,1,test,singleton_no_enforced_relationship
source_0b40a0861b5bfc10806dacc2b1b99158ba4ebf24f3b7f656c26d836603d08102,Greening,1,train,singleton_no_enforced_relationship
source_0b4500ae74be66403843b65bb3c326c7a2b088fecaf70b937b2d9e87e8b99d28,Citrus pest,1,test,singleton_no_enforced_relationship
source_0b8ed61288252eb9c3c93fd3aee56fa37102d33fe80f635b063affdfeb32d15b,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_0bc378823e71d174cb12744b78dd22bc56f5246e8a8f83242e8f78eb51aab052,Citrus pest,1,train,singleton_no_enforced_relationship
source_0c16f2ff74291d6bbac58273cfa54988fc33e701e69aa1ed32f72fd588b1a966,Black spot,1,train,singleton_no_enforced_relationship
source_0c6da2fb119e7d909749e6e41c2214fa8fd1ecfd0bf10114bd757cbf56991e89,Black spot,1,val,singleton_no_enforced_relationship
source_0cb84a2d5298945ad8d279c7e2bff8a2b6d08646ff0a0a7d2940e4022d0afb61,Greening,1,train,singleton_no_enforced_relationship
source_0cbbb4ab0d8c5154f950f90840c4b5147d4e3806d93c7034b95391fc4dd2c04f,Greening,1,test,singleton_no_enforced_relationship
source_0cd1a6faefa9eb532c04fbba3a23c88d741097334596dfd34d368ff5420bf68a,Greening,1,train,singleton_no_enforced_relationship
source_0ce74f74e5ba7632cccf58e7e7625d2c9747b50d7dc69f8b413714515dfc0e1e,Citrus canker,1,train,singleton_no_enforced_relationship
source_0d18fa6861c2e2c5e7802fe6d2fc19efddf7504709d62f99c5d15065a0b12633,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_0d3288d0860f558cb8eb31ad370b3d282d73ffe53f9f10c8c29cf6e823c0a0a5,Black spot,1,train,singleton_no_enforced_relationship
source_0d7766e6ddc2302dc99a5c45fb764819b4935d1e2f115868fd9b2282c27f468f,Black spot,2,train,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest
source_0dc0d567c504b9edb850b080feb9984af26ed7dcdb3658f6e8919806c844a8b1,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_0dcf2c0221cac6807a129a2f7660bdd5ccc41c819ff68c129260151cde161ef1,Citrus pest,1,test,singleton_no_enforced_relationship
source_0dd19a986e73026503864403bb626238df86562dffb958374c581ca48dc28ce5,Greening,1,train,singleton_no_enforced_relationship
source_0dd2cfab5e9b0c246af71f872dd9dd2f38a721b05087d017b4f3c443dab71ca8,Healthy leaf,1,train,singleton_no_enforced_relationship
source_0de1ce89bb4f67c1f503af21f1691f26f2dca38fe5d189c62e74e35f51f0ce2a,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_0e130b073e137c405a5f8bfa8f0ddc0678a7177873c107f2cb338d7bc0c090e8,Black spot,1,val,singleton_no_enforced_relationship
source_0e1ccbf7e872ebcfc16f0629523aac1385bbab31bd8836838ae590a578dda952,Black spot,1,train,singleton_no_enforced_relationship
source_0e4383ebff3e04255e71acc53f402fcdfaf365a1df7442751fd03564a3893cee,Algal leaf spot,1,val,singleton_no_enforced_relationship
source_0e4f6a6520ec2b0267012d67122f332e584f15dcaa0edb59436e1019f0584b29,Greening,1,train,singleton_no_enforced_relationship
source_0e781244c1f511fc0c8533d1f81d7b8ebedaf7310e2677c8f055153e279496e8,Black spot,1,train,singleton_no_enforced_relationship
source_0e8cb853d048fb15381411dbb34bec86e27c056c251054af0deb2c3a533a7390,Citrus pest,1,train,singleton_no_enforced_relationship
source_0eaa2c89862c8afe97eb64fa22c7be5d1b50791f026bd6785c2cda5ed81627de,Healthy leaf,1,train,singleton_no_enforced_relationship
source_0ee3dda578a2fc65fbddaf977750c0c01ec64c434194654cdb424eb5e0dbe724,Citrus canker,1,val,singleton_no_enforced_relationship
source_0ef1d5a5c488733d070f531a0b167e6132abaa8b1811e28a542dfed4e99573b6,Citrus canker,1,train,singleton_no_enforced_relationship
source_0efb7df13df3b3f3a941f10e8545a753bc3f76d4593cfaf284e2ef27fe953e6d,Citrus canker,1,train,singleton_no_enforced_relationship
source_0f1355c62889d1be0777e5ee4ee8b41e0edebbcbd6d440a6587dc567f186beb6,Citrus pest,1,train,singleton_no_enforced_relationship
source_0f173508e9998ba6801591b8c8f9f1bb508ef5f6d5ae541f6209515263948bf5,Citrus canker,1,train,singleton_no_enforced_relationship
source_0f397425f46c0a3833426a14e466969e53d316375039fc5a5cc85dd588f2f1b3,Black spot,1,train,singleton_no_enforced_relationship
source_0f6c4ffeb604ae2b939b22121eda1dd69faa73d823f447c9b56e21e89195891b,Black spot,1,test,singleton_no_enforced_relationship
source_0f7a9126e5fe75ae94edd378218dee1854a3ca662afc86aa11a5d37b1e354e17,Black spot,1,val,singleton_no_enforced_relationship
source_0f89daac5eb6bd87deb89c19f8d68e7e3e33ad18409b2fd4ddc05d7e575c329b,Greening,1,val,singleton_no_enforced_relationship
source_0f89ff5a2dad1a1768aa273f62a06fab2caee3b185d0286aa4be66f68bca89ae,Healthy leaf,1,train,singleton_no_enforced_relationship
source_0f99c3c5758d24556d1f1dabb7d2ac2e7a4e4825932bde1ceae2c0adad4c38f1,Black spot,1,train,singleton_no_enforced_relationship
source_0fb0f85a7cf7f92ca141e5ebb04695b6611bb636f38cf167c5c970af8d0d6c7f,Greening,1,train,singleton_no_enforced_relationship
source_1008324bbe1c560f3935858edbb2254b6fcf688cce2f3dac4f6cc7d7f05c4097,Healthy leaf,1,train,singleton_no_enforced_relationship
source_101fd1b6242c59632e67ecf5059a95318c2776a81034d5821683f06b90b00236,Citrus canker,1,val,singleton_no_enforced_relationship
source_104ab0f136d6c601e41371d980825b1a974f3d089054a3b7ca03c977a418e601,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_104b0e3710f0deecdb769eb459c9ef44fc664af9eab0e25b51ad04846e348dc4,Greening,1,val,singleton_no_enforced_relationship
source_106dec260e36c88a201c9d602027f7fc5cae8b1d3bed208d496aeb48e14ed0f9,Black spot,1,train,singleton_no_enforced_relationship
source_1087818e43b25365328cd4c35bee5b427a8ed853d5184f607c9f127586b14299,Healthy leaf,1,train,singleton_no_enforced_relationship
source_10aac1223b3a6e93e647c474be1136eb2697c6912893cb6ba3b338b6ef1ef8d5,Citrus canker,1,train,singleton_no_enforced_relationship
source_10bbffb62cf6d432d3eda1d7b41d72f0b86196e4d993479c55dececdd798d916,Healthy leaf,1,train,singleton_no_enforced_relationship
source_10ce2bd795ec0c1b6cc0b139364b4f8fe80e79d17d0e3e9566468c2bb8152a26,Black spot,1,train,singleton_no_enforced_relationship
source_10e73ed51bcbaf0b86da48af46c8bd25af69b11f678ee9c6e51db496eea6ff32,Healthy leaf,1,train,singleton_no_enforced_relationship
source_10e80471f226e08497a6286714a830c60306cbe1808db850f882d1ac2e08e478,Citrus pest,1,train,singleton_no_enforced_relationship
source_10fa24a5f0738a2303d2f4277902caa534bb1d52e78a93e5527d7c1540ea0922,Greening,1,val,singleton_no_enforced_relationship
source_1117be04744f58a58890c7aa31642f9b80bca5973d98922c6e396473bc27f87b,Citrus canker,1,val,singleton_no_enforced_relationship
source_113df5ec6128058f7049a83340fc35ebdcb4523a0a6967633b1c4b75bf449529,Greening,1,val,singleton_no_enforced_relationship
source_1141c49adba9a4dc4b79a2d5d0e6bb628c1c0d1c36d9f11ed1f4de3844e1acca,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_1157974a3d56eb195bec31728a52a037d131e082dfd1ec7d0448e28cc3902a29,Citrus pest,1,test,singleton_no_enforced_relationship
source_1164e5ace7ba716c9515b610eec1dcfcdabd39f1d33666c030b6005b5f382da4,Black spot,1,train,singleton_no_enforced_relationship
source_1187ac643230357365dd8cccf43fe997df1432d38b0514b21a5a4b63b73308c0,Greening,1,val,singleton_no_enforced_relationship
source_119d48723a7ef4cc35dcdea6359d510ad81ef816d9e1b897e23670e95b3163ad,Citrus pest,1,train,singleton_no_enforced_relationship
source_11a2a47df0b733337afb7a04f23b5a51a4b36a4434ab15568434dee07b0def0b,Citrus pest,1,test,singleton_no_enforced_relationship
source_11bc8b385b55918bc8dbcd803d72bcfe8a7ccde99b4bf66b13eafe7ee172d3a3,Citrus pest,1,val,singleton_no_enforced_relationship
source_122b82da8d24cfb6a4f609daf1744a0ac3efcee08debb4e1b64a1cad283bde43,Black spot,2,train,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest
source_125199e2257352b827737fdff33c1e6102c0b1bcc1be671d3132bd97b2b9d25b,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_1280e9a7abb34aa9145e4a0a5c2ec32614713fc2142f1bbae2f28e2c5b725ee7,Black spot,1,train,singleton_no_enforced_relationship
source_12f4945a746e17d6f3c3150dbb3736d4aca1f388413157a14f7c2ccc9bdd9eea,Greening,1,test,singleton_no_enforced_relationship
source_130c7195ac86e3b8e829ad7c865976b6406b3fc705acb5aa07c374f8ca9f8e44,Citrus canker,1,train,singleton_no_enforced_relationship
source_131af4365b690e06d8af0f7cc0e13796cfb2a32d6a73b0e91b214d97b7c9db18,Greening,1,train,singleton_no_enforced_relationship
source_1345b0b409c96b93a21d4a0d953fb2bd3b9cb1485ef0a09da8c83d412d2d2513,Greening,1,train,singleton_no_enforced_relationship
source_134ab88349d63f1b3f51bb70aa5487f9e40228123379afe722a276ddcb0d3d70,Healthy leaf,1,train,singleton_no_enforced_relationship
source_13f8b38f22c31cb496022ec988d0297c872e2bade4ad44dca94abe0ae91ab77a,Healthy leaf,1,test,singleton_no_enforced_relationship
source_14220a82df44df8d0664515d15b13ad35f6348f866e425a6fe5a56e284646424,Black spot,1,train,singleton_no_enforced_relationship
source_142837b3a5b3b2a935911df6f0449a97ae511e04d524dbd50293b7e7655829c7,Citrus canker,1,test,singleton_no_enforced_relationship
source_14706e139a7407e8047694a6794fb4e89e924bd0cc0a6d7595485d7db46ce414,Citrus canker,1,train,singleton_no_enforced_relationship
source_148288ef2e59c1aef976ad1d35d5ec5b1a46298d90cd40b2c71aea469004605f,Citrus canker,1,train,singleton_no_enforced_relationship
source_148f47d5336b9d061523ab8cad9ec747a1c5e42ea430d3a0177e2c5feddda887,Black spot,1,train,singleton_no_enforced_relationship
source_14a4c724c347e7899516b6b6e7adb935f8f5b1d890fa07a85edb7a123305e986,Greening,1,train,singleton_no_enforced_relationship
source_14a5efe643b415250741f479efca03c588b70a826efe6d959e5d4f88ea33e34f,Black spot,1,test,singleton_no_enforced_relationship
source_14a8b6d34a4291d6df4923d5b55fb462c731a260271e4d5e646a4f70a7381741,Healthy leaf,1,val,singleton_no_enforced_relationship
source_14ad5d7483c5b2cef649e624e0111ba8e3cca819ca7bd9bdc5c0b7598c224f21,Healthy leaf,2,train,AB_pair_evidence;exact_sha256;existing_AB_cluster;existing_AB_manifest
source_14d0337c89cc8fb2aca5d1ce1cd2c80f28e8d0ddac39d31663af16d8c4fe15a9,Citrus pest,1,train,singleton_no_enforced_relationship
source_14db8ddbef3a9da6cc4c1059211807c36bf939de7f6ab5cb6ce65de78c769eb4,Healthy leaf,1,val,singleton_no_enforced_relationship
source_1533d76d04a12e98bb73ccbcf4833ace7a6334a63e9df074435885b01a0e338f,Healthy leaf,1,train,singleton_no_enforced_relationship
source_15426221d7ce31a33f65be257077185685d73121c9a17c16766c1e7888de1737,Citrus pest,1,train,singleton_no_enforced_relationship
source_155f46b18c4a5f530a8d3f2546e26d427a7a5f08a6e9237fd61df9a328cbecf4,Healthy leaf,1,train,singleton_no_enforced_relationship
source_15c79ec8be6e755ce80f627ef182e68b22a574b609df6bda04de12ea65c24a5c,Greening,1,val,singleton_no_enforced_relationship
source_15eba54b7cc38a4eb7b685ff75d041c9f4bd0022c8a10ea0c3e4c616deb36fa3,Citrus pest,1,train,singleton_no_enforced_relationship
source_15fc9a7b6613f92a283c3fd52f43c341acac68f08eedc849883aac5159f3d069,Healthy leaf,1,train,singleton_no_enforced_relationship
source_160a62cb55301be8cf8bb256ac04e4709e7eae125b0761568db373c123260b10,Citrus pest,1,train,singleton_no_enforced_relationship
source_165b5666663f2bfb25b90db202c83aecad4ae9ffc7b7516683c031c30a80838d,Greening,1,train,singleton_no_enforced_relationship
source_165dec3f5ac669e7cbf3738776afc5b3c64e51d62654c6d139e8acf884b54703,Black spot,1,val,singleton_no_enforced_relationship
source_1662cd2472c6788d666e699d5a4bf2b39f8992ec2847fbc708fd8d03259f80f3,Black spot,1,train,singleton_no_enforced_relationship
source_16708f525630778d0c4a2c757246075c276b220b36e2a061f41194e17016728f,Black spot,1,train,singleton_no_enforced_relationship
source_1673a2634b162c7b98ca54fae2e091151c7eac22c4c4ae0131772abe9f729e3c,Healthy leaf,1,train,singleton_no_enforced_relationship
source_167abc00887332d338a781de3bcf8a3dbeeb659960d41064e0ffa3c55368c224,Healthy leaf,1,train,singleton_no_enforced_relationship
source_168806bb14819f711cf03b339a5d0d1e553f757d7b0d8dab9635020d290c8f6e,Citrus pest,1,train,singleton_no_enforced_relationship
source_16a6d0b1e7f44563fe6c4b483722180c3519f381446475f5c3cd5d66cbe9ef60,Healthy leaf,1,val,singleton_no_enforced_relationship
source_16ab213b824df29ac34abf0f0966b04f90dadca1bcf7e09472f19922c229c133,Citrus canker,1,train,singleton_no_enforced_relationship
source_16aed287877bce7622871c75207006da31c98f8e7480236f997ccb846b388ee6,Algal leaf spot,1,test,singleton_no_enforced_relationship
source_16b522d22996afaf403259114ae719aa00b0c24ad786b6a30405b282361f643a,Greening,1,train,singleton_no_enforced_relationship
source_170c0af6c6536d0442ef22a5021336b4d71d06a8e16bb29dbc2022a1aa5da66e,Citrus pest,1,train,singleton_no_enforced_relationship
source_1722bc380bcd2ca5494cc16c23d0a7d4fb85079d762261e17bf2005bca787c9c,Black spot,1,val,singleton_no_enforced_relationship
source_17375746c62c312aca5d7ac5ebb37ff679fb45008e9ed946f0a4ff77e2e8049a,Black spot,1,train,singleton_no_enforced_relationship
source_173a7f4f67d1c411dd5f3ee0204ef03f8b3cd0506f14c2b863750aa3f885231a,Healthy leaf,1,val,singleton_no_enforced_relationship
source_178b67a695799c56cc88c3e1bcafa7ab75c21db7c827a06cb707d4f3161fb8c7,Greening,1,train,singleton_no_enforced_relationship
source_1791c7dbd50aed1853537bb8286bc9085cdd3790e00c7ea9cc214b9aa8f3b43d,Citrus canker,1,test,singleton_no_enforced_relationship
source_1793219394cce4a79a9903e6d32c5fca32e45c45ccc942aac753f5086d37c7be,Black spot,1,train,singleton_no_enforced_relationship
source_17c725cd9b0f9f0a1f7cd9678bea10e5d60fbbb216b688d3f2d265c94860e7a6,Healthy leaf,1,train,singleton_no_enforced_relationship
source_17ed718486ebbf34be593fe295f533b18ab30f629145c96ededfe9b9f96dc3b1,Black spot,1,train,singleton_no_enforced_relationship
source_180f4b624a5aca64eee18495d042cd476cd676190c88bc1da21a8380c458918b,Citrus canker,1,test,singleton_no_enforced_relationship
source_1834b459d51acc884327d5a4a24b9883fb2bfe0757f11f1a123646c7b471f616,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_1845f27febbcf56e9ad770016810715f7fb96f4cf9f09cfe2fd18d44a4f17645,Black spot,1,train,singleton_no_enforced_relationship
source_18c1bedc3f03dd0d2aa57413f5314ae90c0ac6364b802b2ece7869b188309270,Greening,1,train,singleton_no_enforced_relationship
