filepath_a,filepath_b,sources,is_audit_near_candidate,is_filename_neighbor,existing_dhash_distance,dhash_distance,phash_a,phash_b,phash_distance,normalized_pixel_mae,color_histogram_intersection,category,category_label,review_status,filename_a,class_a,split_a,sha256_a,filename_b,class_b,split_b,sha256_b,cross_split,split_combination,class_comparison,same_class_date,filename_number_gap,saved_decision,new_split_a,new_split_b
dataset/test/Algal leaf spot/2025_12_21_IMG (225).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (226).JPG,audit_near_candidate|filename_neighbor,True,True,5.0,5,2b95c06aad65b07a,2b95c06aad60b27b,4,0.0306647028774023,0.9484049479166666,C,probable near duplicate,requires human verification,2025_12_21_IMG (225).JPG,Algal leaf spot,test,df07bc41b1f36ff8b4db42e32c58b375f4a6f2d7fcc34726dbdb57a5ba5b10f2,2025_12_21_IMG (226).JPG,Algal leaf spot,train,def4dbabd4654d37f312e9a644f49711499b8c1065c95975486c681435adf2b1,True,train-test,Algal leaf spot,True,1.0,,val,test
dataset/test/Algal leaf spot/2025_12_21_IMG (227).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (226).JPG,audit_near_candidate|filename_neighbor,True,True,5.0,5,2b95c06aad60b27b,2b95c06aad60b27b,0,0.0199505984783172,0.9742024739583334,C,probable near duplicate,requires human verification,2025_12_21_IMG (227).JPG,Algal leaf spot,test,27aeba3496125835fb5695a641c8dbc398432b10b51eeabc7f50dd92041193e2,2025_12_21_IMG (226).JPG,Algal leaf spot,train,def4dbabd4654d37f312e9a644f49711499b8c1065c95975486c681435adf2b1,True,train-test,Algal leaf spot,True,1.0,,train,test
dataset/test/Algal leaf spot/2025_12_21_IMG (256).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (255).JPG,audit_near_candidate|filename_neighbor,True,True,4.0,4,7d42c0ad8f9c8d1c,7dc2c0ad8f9c9838,6,0.0305277910083532,0.953125,C,probable near duplicate,requires human verification,2025_12_21_IMG (256).JPG,Algal leaf spot,test,cfa719d20153f6d53aaffb87f78d9133ab9aa668e020dc25d7a284dc879e1495,2025_12_21_IMG (255).JPG,Algal leaf spot,train,b2d5d5ccb7b5be2c971528c984ed505e58eb6ce3ca9ec60b0247f347098f890b,True,train-test,Algal leaf spot,True,1.0,,val,train
dataset/test/Algal leaf spot/2025_12_21_IMG (256).JPG,dataset/val/Algal leaf spot/2025_12_21_IMG (257).JPG,audit_near_candidate|filename_neighbor,True,True,2.0,2,7d42c0ad8f9c8d1c,7dc2c0ad8f9c9918,4,0.0125826569274067,0.9762369791666666,C,probable near duplicate,requires human verification,2025_12_21_IMG (256).JPG,Algal leaf spot,test,cfa719d20153f6d53aaffb87f78d9133ab9aa668e020dc25d7a284dc879e1495,2025_12_21_IMG (257).JPG,Algal leaf spot,val,54e28fffed692fd2873946aabf5b5eae441e9f649cd46d6605db4e117c238e44,True,val-test,Algal leaf spot,True,1.0,,val,train
dataset/test/Algal leaf spot/2025_12_21_IMG (264).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (263).JPG,audit_near_candidate|filename_neighbor,True,True,3.0,3,78ce8724dab49932,78ce970e9a9c9b10,10,0.033936183899641,0.9662272135416666,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (264).JPG,Algal leaf spot,test,f960ee4e1dc290e44bb076cc1a5397d4edff5c56540617543ff55c049a229746,2025_12_21_IMG (263).JPG,Algal leaf spot,train,830f09500f36116a254bf1041fa9d6767f2ffe4902ce534b3fe42032b26f5a9b,True,train-test,Algal leaf spot,True,1.0,,train,val
dataset/test/Algal leaf spot/2025_12_21_IMG (273).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (275).JPG,audit_near_candidate,True,False,2.0,2,3d1ec379cc678046,3d1ec369cc679046,2,0.0228764563798904,0.9038899739583334,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (273).JPG,Algal leaf spot,test,cdc6fe33d8512d2fbb5ab1a218a8c43b7aee8369cd1d9b4edb45ed35435dccd1,2025_12_21_IMG (275).JPG,Algal leaf spot,train,bcdee8c20ce5939b40485008b2657ba4e23cc433c110dc2a01e99dd7195be631,True,train-test,Algal leaf spot,True,2.0,,train,val
dataset/test/Algal leaf spot/2025_12_21_IMG (274).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (275).JPG,audit_near_candidate|filename_neighbor,True,True,3.0,3,3d1ec369cc679046,3d1ec369cc679046,0,0.0088321454823017,0.9712727864583334,C,probable near duplicate,requires human verification,2025_12_21_IMG (274).JPG,Algal leaf spot,test,66bdd20206cf0d942cbbda14c3a4dd028ecfb942b26aa7bb1c63fb68e86b310d,2025_12_21_IMG (275).JPG,Algal leaf spot,train,bcdee8c20ce5939b40485008b2657ba4e23cc433c110dc2a01e99dd7195be631,True,train-test,Algal leaf spot,True,1.0,,train,val
dataset/test/Algal leaf spot/2025_12_21_IMG (292).JPG,dataset/val/Algal leaf spot/2025_12_21_IMG (293).JPG,audit_near_candidate|filename_neighbor,True,True,4.0,4,3038cb61d967c963,3038cb61d967c9c6,4,0.0183316096663475,0.91357421875,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (292).JPG,Algal leaf spot,test,6c3c072a6df0036dd44ef4e87bb1d064a87aaa71231e964fea330677b3adaf48,2025_12_21_IMG (293).JPG,Algal leaf spot,val,906c0e7f361bd44528875c5a2f3d13d3606cd752bb0b8cf6f41205599e6e8e17,True,val-test,Algal leaf spot,True,1.0,,test,train
dataset/test/Algal leaf spot/2025_12_21_IMG (294).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (295).JPG,audit_near_candidate|filename_neighbor,True,True,3.0,3,3b2bc5b41e823a1b,3b2bc5b45e823a1a,2,0.0168418735265731,0.9456380208333334,C,probable near duplicate,requires human verification,2025_12_21_IMG (294).JPG,Algal leaf spot,test,2d208b7e2425faf4be63b8be488081789c8beecef8a4836fae8a177d7f7d2cc1,2025_12_21_IMG (295).JPG,Algal leaf spot,train,aa283a5db744e6e0d719669a4512af8e416b5f20d7869a9b1c02a451c6d31160,True,train-test,Algal leaf spot,True,1.0,,val,test
dataset/test/Algal leaf spot/2025_12_21_IMG (294).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (297).JPG,audit_near_candidate,True,False,5.0,5,3b2bc5b41e823a1b,3a2b85b45e833a5a,6,0.0216133072972297,0.9545084635416666,C,probable near duplicate,requires human verification,2025_12_21_IMG (294).JPG,Algal leaf spot,test,2d208b7e2425faf4be63b8be488081789c8beecef8a4836fae8a177d7f7d2cc1,2025_12_21_IMG (297).JPG,Algal leaf spot,train,8046c723c3e58e92e5076d56f8dfa8c2a4d13765132a663e9f52793528589362,True,train-test,Algal leaf spot,True,3.0,,val,train
dataset/test/Algal leaf spot/2025_12_21_IMG (305).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (304).JPG,audit_near_candidate|filename_neighbor,True,True,2.0,2,3f68c227cd1bc419,3f68c227cd1bc419,0,0.0141560062766075,0.9437662760416666,C,probable near duplicate,requires human verification,2025_12_21_IMG (305).JPG,Algal leaf spot,test,2a64a8e287d21b4ad3fd827a00cea3ef25eef54533b46806a658eb5240e4a02a,2025_12_21_IMG (304).JPG,Algal leaf spot,train,cf8c484dd9d9ef93914a1b47a81c2760f7083ee5ad7c1b60ca6c818e4196b4ca,True,train-test,Algal leaf spot,True,1.0,,train,val
dataset/test/Algal leaf spot/2025_12_21_IMG (310).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (1).JPG,audit_near_candidate,True,False,0.0,0,2f1f84729c4f90cc,2f1d84729c4fd0cc,2,0.0095996735617518,0.9678548177083334,C,probable near duplicate,requires human verification,2025_12_21_IMG (310).JPG,Algal leaf spot,test,9638616d327a23abf1cf531407eb6f4401e588579e7d9af022f1d84155a30d05,2025_12_21_IMG (1).JPG,Algal leaf spot,train,e8deabec6be8f185cff4875552617d9a3c5b3ec613356cec28a22aa4d6e8ee98,True,train-test,Algal leaf spot,True,309.0,,val,train
dataset/test/Algal leaf spot/2025_12_21_IMG (78).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (77).JPG,audit_near_candidate|filename_neighbor,True,True,0.0,0,614c9e3c9b319b32,614d9e1c93799332,6,0.0234614368528127,0.9698079427083334,C,probable near duplicate,requires human verification,2025_12_21_IMG (78).JPG,Algal leaf spot,test,5b217c5ce61699d7b21fe4305151582f1b614fe1f07d2e4c6a1041e2d7ad490f,2025_12_21_IMG (77).JPG,Algal leaf spot,train,35466c507d8883f7fbfe3cfd487a9d1e686cb6cc52eeb8c640b1ed229265f762,True,train-test,Algal leaf spot,True,1.0,,train,test
dataset/test/Algal leaf spot/2025_12_21_IMG (78).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (80).JPG,audit_near_candidate,True,False,0.0,0,614c9e3c9b319b32,614d9e3c93319b32,2,0.0141381351277232,0.973388671875,C,probable near duplicate,requires human verification,2025_12_21_IMG (78).JPG,Algal leaf spot,test,5b217c5ce61699d7b21fe4305151582f1b614fe1f07d2e4c6a1041e2d7ad490f,2025_12_21_IMG (80).JPG,Algal leaf spot,train,e5e9bb7e00efa7178071b7c63110a5ee1f70848792de8713edae187587690b83,True,train-test,Algal leaf spot,True,2.0,,train,val
dataset/test/Algal leaf spot/2025_12_21_IMG (79).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (77).JPG,audit_near_candidate,True,False,1.0,1,614c9e3c9b319b32,614d9e1c93799332,6,0.022175945341587,0.9646809895833334,C,probable near duplicate,requires human verification,2025_12_21_IMG (79).JPG,Algal leaf spot,test,62a76e17025c2ed450ec9e99b14a151522d1e753ee2a2f26dfed944b17685dea,2025_12_21_IMG (77).JPG,Algal leaf spot,train,35466c507d8883f7fbfe3cfd487a9d1e686cb6cc52eeb8c640b1ed229265f762,True,train-test,Algal leaf spot,True,2.0,,train,test
dataset/test/Algal leaf spot/2025_12_21_IMG (79).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (80).JPG,audit_near_candidate|filename_neighbor,True,True,1.0,1,614c9e3c9b319b32,614d9e3c93319b32,2,0.0123024536296725,0.9725748697916666,C,probable near duplicate,requires human verification,2025_12_21_IMG (79).JPG,Algal leaf spot,test,62a76e17025c2ed450ec9e99b14a151522d1e753ee2a2f26dfed944b17685dea,2025_12_21_IMG (80).JPG,Algal leaf spot,train,e5e9bb7e00efa7178071b7c63110a5ee1f70848792de8713edae187587690b83,True,train-test,Algal leaf spot,True,1.0,,train,val
dataset/test/Algal leaf spot/2025_12_21_IMG (92).JPG,dataset/test/Algal leaf spot/2025_12_21_IMG (93).JPG,filename_neighbor,False,True,,15,65309ac39969cdc6,653398ca9b498dcc,10,0.0573073029518127,0.830810546875,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (92).JPG,Algal leaf spot,test,25c0fb07d30533362bb93aec790979fbb0511c4d90d3894db3ea510fddcb5284,2025_12_21_IMG (93).JPG,Algal leaf spot,test,ed32a9e1185f7352136fb223e1b3dbe875230baa3dd2e833cda536d4c0c5880b,False,test,Algal leaf spot,True,1.0,,val,train
dataset/test/Algal leaf spot/2025_12_21_IMG (92).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (91).JPG,audit_near_candidate|filename_neighbor,True,True,6.0,6,65309ac39969cdc6,65109ecbc94dccc6,8,0.0565700940787792,0.827392578125,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (92).JPG,Algal leaf spot,test,25c0fb07d30533362bb93aec790979fbb0511c4d90d3894db3ea510fddcb5284,2025_12_21_IMG (91).JPG,Algal leaf spot,train,297ed7ceeae14bc9d5fec3f663b3749326e836081d20438c177b5429353ae817,True,train-test,Algal leaf spot,True,1.0,,val,train
dataset/test/Black spot/2025_12_20_IMG (110).JPG,dataset/val/Black spot/2025_12_20_IMG (111).JPG,audit_near_candidate|filename_neighbor,True,True,3.0,3,34658f96c6989a9c,30658f96c698ba9c,2,0.0123962806537747,0.97119140625,C,probable near duplicate,requires human verification,2025_12_20_IMG (110).JPG,Black spot,test,0c00fb4869a82f0b8e19992e87b826aba402cdc254374049b1e59f2ea099a7fc,2025_12_20_IMG (111).JPG,Black spot,val,d3e903a4290ea34394f0eb370bfe97a791f6a9194f95c96e0cb195300216f37c,True,val-test,Black spot,True,1.0,,train,test
dataset/test/Black spot/2025_12_20_IMG (112).JPG,dataset/test/Black spot/2025_12_20_IMG (113).JPG,filename_neighbor,False,True,,8,30658f96c698ba9c,206f97b6c698929c,8,0.0259369909763336,0.9515787760416666,D,visually similar but uncertain,requires human verification,2025_12_20_IMG (112).JPG,Black spot,test,9e4bd51aee5a16c42212871f6d0235ea4dc4f1c84e645028c86509dda031dcfe,2025_12_20_IMG (113).JPG,Black spot,test,e4eaad41dea685273c0551d858ca859857c829425dd87ae6ceb4f931055b86c8,False,test,Black spot,True,1.0,,train,test
dataset/test/Black spot/2025_12_20_IMG (112).JPG,dataset/val/Black spot/2025_12_20_IMG (111).JPG,audit_near_candidate|filename_neighbor,True,True,1.0,1,30658f96c698ba9c,30658f96c698ba9c,0,0.0130926379933953,0.9686686197916666,C,probable near duplicate,requires human verification,2025_12_20_IMG (112).JPG,Black spot,test,9e4bd51aee5a16c42212871f6d0235ea4dc4f1c84e645028c86509dda031dcfe,2025_12_20_IMG (111).JPG,Black spot,val,d3e903a4290ea34394f0eb370bfe97a791f6a9194f95c96e0cb195300216f37c,True,val-test,Black spot,True,1.0,,train,test
dataset/test/Black spot/2025_12_20_IMG (119).JPG,dataset/train/Black spot/2025_12_20_IMG (118).JPG,audit_near_candidate|filename_neighbor,True,True,3.0,3,2d3791e098cdc3cc,2d3791e098cdc3cc,0,0.0167557056993246,0.9204915364583334,D,visually similar but uncertain,requires human verification,2025_12_20_IMG (119).JPG,Black spot,test,25ff18baab4fbcb7ae65c0985527ec19d47472844cf63acc8842259616f7c50c,2025_12_20_IMG (118).JPG,Black spot,train,1d53fc16cf6836ec730bebf8e18ca2dd7d1befb36025dba2961c63b507fa7e03,True,train-test,Black spot,True,1.0,,train,test
dataset/test/Black spot/2025_12_20_IMG (135).JPG,dataset/train/Black spot/2025_12_20_IMG (134).JPG,audit_near_candidate|filename_neighbor,True,True,4.0,4,3d96d098c1c9c7cc,3d96d099c1c9c7c4,2,0.0166851785033941,0.9715983072916666,C,probable near duplicate,requires human verification,2025_12_20_IMG (135).JPG,Black spot,test,5055c769ff98329634c515aa697cc13baba436fea51864e33bdfd2334b5c0ee7,2025_12_20_IMG (134).JPG,Black spot,train,5d3794211779f9d0749b314bde2b825a1d4721914ad0fa5b2ec6a8e6b0c61528,True,train-test,Black spot,True,1.0,,val,train
dataset/test/Black spot/2025_12_20_IMG (139).JPG,dataset/train/Black spot/2025_12_20_IMG (140).JPG,audit_near_candidate|filename_neighbor,True,True,1.0,1,68c78596cc9c9c9c,68c7859ecc989c9c,2,0.0111596202477812,0.9759928385416666,C,probable near duplicate,requires human verification,2025_12_20_IMG (139).JPG,Black spot,test,8c82381b22432171b434dac5d889ab84f1155a668ef4edfb32afe5d208ed812e,2025_12_20_IMG (140).JPG,Black spot,train,e19cee0308f7722d2a11c8cdb766b5f2f89ae10d9d0ab3b4cde180c41e436934,True,train-test,Black spot,True,1.0,,train,test
dataset/test/Black spot/2025_12_20_IMG (141).JPG,dataset/train/Black spot/2025_12_20_IMG (140).JPG,audit_near_candidate|filename_neighbor,True,True,6.0,6,68c7859cdc989c9c,68c7859ecc989c9c,2,0.0118770422413945,0.9750162760416666,C,probable near duplicate,requires human verification,2025_12_20_IMG (141).JPG,Black spot,test,ec5de52ec5bfd2dab5ddd9612cf608109aad475ea9fa28be36dd850a23af8bec,2025_12_20_IMG (140).JPG,Black spot,train,e19cee0308f7722d2a11c8cdb766b5f2f89ae10d9d0ab3b4cde180c41e436934,True,train-test,Black spot,True,1.0,,train,test
dataset/test/Black spot/2025_12_20_IMG (146).JPG,dataset/train/Black spot/2025_12_20_IMG (144).JPG,audit_near_candidate,True,False,1.0,1,2a95d57a8f65340a,2a95d57a8f65340a,0,0.0321139059960842,0.8414713541666666,D,visually similar but uncertain,requires human verification,2025_12_20_IMG (146).JPG,Black spot,test,64d34fdd0bb698c51ea4619905803082f5e6360f3a90c7e544788f8d7b416e8f,2025_12_20_IMG (144).JPG,Black spot,train,af5dd8deafc27f0a2fb50c420b79bb0ff569b278097f28d379cc015c3cbb22bb,True,train-test,Black spot,True,2.0,,train,val
dataset/test/Black spot/2025_12_20_IMG (146).JPG,dataset/train/Citrus canker/2025_12_21_IMG (208).JPG,audit_near_candidate,True,False,0.0,0,2a95d57a8f65340a,2a95d57a8f65340a,0,0.0369829945266246,0.8776041666666666,D,visually similar but uncertain,requires human verification,2025_12_20_IMG (146).JPG,Black spot,test,64d34fdd0bb698c51ea4619905803082f5e6360f3a90c7e544788f8d7b416e8f,2025_12_21_IMG (208).JPG,Citrus canker,train,358fad59f381819cca1076bdaf55e482aa7a34ce2ab3db5f65e00e235babd90a,True,train-test,Black spot <> Citrus canker,False,62.0,,train,test
dataset/test/Black spot/2025_12_20_IMG (170).JPG,dataset/val/Black spot/2025_12_20_IMG (171).JPG,audit_near_candidate|filename_neighbor,True,True,6.0,6,6a62859f3cd0216f,2a62859f3ed0216f,2,0.0247954335063695,0.9348958333333334,D,visually similar but uncertain,requires human verification,2025_12_20_IMG (170).JPG,Black spot,test,8bc53293bc889268389eecc77d19d02fc61c0f5c08af248ce3245cc87528d27a,2025_12_20_IMG (171).JPG,Black spot,val,7d1ac3e9a90fa128e9d1f4f617867c0e8519b8c5cd99417d3776d2ddd3b79482,True,val-test,Black spot,True,1.0,,val,train
dataset/test/Black spot/2025_12_20_IMG (172).JPG,dataset/train/Black spot/2025_12_20_IMG (173).JPG,audit_near_candidate|filename_neighbor,True,True,4.0,4,25d392cbcbc9890d,35d392cbcb49890d,2,0.0228407103568315,0.9359537760416666,D,visually similar but uncertain,requires human verification,2025_12_20_IMG (172).JPG,Black spot,test,090b951a61d716d4ec7a106688a894f2fceaf0a9b2efba72cc8cc8eb8c951bf0,2025_12_20_IMG (173).JPG,Black spot,train,9828cfa7f62916027b3bdbc9f93b3d6d9e9948c3a26af4e2e2e9b243f00aa790,True,train-test,Black spot,True,1.0,,train,test
dataset/test/Black spot/2025_12_20_IMG (199).JPG,dataset/train/Black spot/2025_12_20_IMG (198).JPG,audit_near_candidate|filename_neighbor,True,True,3.0,3,37cec3f08d83cc0c,35cec3f08d83cc2c,2,0.0209453497081995,0.974853515625,C,probable near duplicate,requires human verification,2025_12_20_IMG (199).JPG,Black spot,test,813ac2526f4310a452460256630048ba57da1218b948819933627a8d4da529fc,2025_12_20_IMG (198).JPG,Black spot,train,701a3c16bfa2e7ae450f6d331f8c829f71fd93e108fe2a5deadeb016b845b226,True,train-test,Black spot,True,1.0,,train,val
dataset/test/Black spot/2025_12_20_IMG (2).JPG,dataset/train/Black spot/2025_12_20_IMG (4).JPG,audit_near_candidate,True,False,4.0,4,7f3ac04b1fa4311a,7f3ac06b0fa4311a,2,0.0273466203361749,0.9236653645833334,D,visually similar but uncertain,requires human verification,2025_12_20_IMG (2).JPG,Black spot,test,dc7bddc03502ca42e56a1be05841727ae068e2dea0e8c826d1f63ef5a78b4f88,2025_12_20_IMG (4).JPG,Black spot,train,ef7ef5ba7ffb586040d33c1a2a2dc5089cfc1246ac4bbc36518b66140443a9cc,True,train-test,Black spot,True,2.0,,train,test
dataset/test/Black spot/2025_12_20_IMG (20).JPG,dataset/train/Black spot/2025_12_20_IMG (21).JPG,audit_near_candidate|filename_neighbor,True,True,6.0,6,61ec9687989e8d19,61ec96c3989e8d19,2,0.0184321384876966,0.9717610677083334,C,probable near duplicate,requires human verification,2025_12_20_IMG (20).JPG,Black spot,test,bbd3ff12f78ec64ac86a13a91576620daffee9d68bc6822cd4ca274eec0ffa48,2025_12_20_IMG (21).JPG,Black spot,train,b6de34df42df5656a825b9d0e4eaddfbd3c2edc20ca7c593d2a72cdbd81a5d85,True,train-test,Black spot,True,1.0,,train,val
dataset/test/Black spot/2025_12_20_IMG (201).JPG,dataset/train/Black spot/2025_12_20_IMG (200).JPG,audit_near_candidate|filename_neighbor,True,True,0.0,0,716c97c7889a8cc9,716c93e38c9a8cc9,4,0.012891262769699,0.9322102864583334,D,visually similar but uncertain,requires human verification,2025_12_20_IMG (201).JPG,Black spot,test,29979d78c6ff53b1a680b0babc4c7d460068f98cedd2666dcfe979a77a4364dd,2025_12_20_IMG (200).JPG,Black spot,train,2703b9ce1b13a1ea0fd132d8bd182c7fa6fb4dcba44681557599fc2ae7001dbd,True,train-test,Black spot,True,1.0,,val,train
